sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--name,name_3048f3e7,0.745448,52168,46169,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias,alias_f2467af1,0.783943,52168,47242,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,98.42,,92,92,43,335,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --name,flatten_name_c86ac444,0.765756,52168,50526,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,87.63,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten,flatten_5fa9f4b7,0.765682,52168,50526,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,87.06,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias,flatten_alias_c66110dc,0.790414,52168,51543,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,85.85,,92,92,43,335,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--memory,memory_6d429d32,1.062726,52168,56816,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,84.76,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --name,alias_name_789b0d50,0.72474,52168,47185,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,98.42,,92,92,43,335,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--name --memory,name_memory_ba3e3b9c,0.977363,52168,56795,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,84.76,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --memory,alias_memory_b7bf70eb,1.010577,52168,57861,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,83.94,,92,94,43,337,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --memory,flatten_memory_75f56a11,0.998343,52168,61173,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,74.72,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --name,flatten_alias_name_5017511b,0.75041,52168,51533,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,87.16,,92,92,43,335,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --memory,flatten_alias_memory_efdc7356,1.032013,52168,62256,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,74.14,,92,94,43,337,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--collatz,collatz_f5e9ef74,0.664192,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--cf,cf_2fac098c,0.66819,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--ca,ca_c4d174db,0.675532,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --name --memory,flatten_name_memory_ebba8801,1.030549,52168,61144,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,74.27,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --name --memory,alias_name_memory_48c51b6d,1.022754,52168,57840,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,83.94,,92,94,43,337,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_f3f66a0e,1.049689,52168,62292,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,73.36,,92,94,43,337,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --collatz,flatten_collatz_8a6476de,0.77853,52168,53754,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,85.57,,92,93,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --cf,flatten_cf_91eb802b,0.749923,52168,53747,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,85.52,,92,93,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --ca,flatten_ca_c24282fd,0.728168,52168,50526,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,87.39,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --cf,alias_cf_4886a8d0,0.747663,52168,47195,21,313,4,4,ok,ok,timeout,timeout,,,yes,yes,98.42,,92,92,43,335,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --ca,alias_ca_35fef03a,37.149761,52168,784374,21,22193,4,4,ok,ok,timeout,timeout,,,yes,yes,2.02,,92,93,43,22215,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--alias --collatz,alias_collatz_06294250,37.840841,52168,806142,21,22193,4,4,ok,ok,timeout,timeout,,,yes,yes,2.02,,92,93,43,22215,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--name --collatz,name_collatz_51f45cee,0.68468,52168,46169,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--name --cf,name_cf_81f3ee28,0.665524,52168,46169,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--name --ca,name_ca_64927e10,0.678766,52168,46169,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--memory --collatz,memory_collatz_127da39d,0.992805,52168,56794,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,84.75,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--memory --cf,memory_cf_15be8a7f,0.96562,52168,56833,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,84.76,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--memory --ca,memory_ca_cbaa2165,0.971252,52168,56832,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,84.75,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --cf,flatten_alias_cf_8853ce3a,0.902359,52168,55249,21,429,4,4,ok,ok,timeout,timeout,,,yes,yes,82.88,,92,93,43,437,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --ca,flatten_alias_ca_d3dad1be,37.793514,52168,810488,21,22193,4,4,ok,ok,timeout,timeout,,,yes,yes,1.94,,92,93,43,22215,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --alias --collatz,flatten_alias_collatz_827cf4a8,54.890052,52168,1086412,21,33222,4,4,ok,ok,timeout,timeout,,,yes,yes,1.45,,92,94,43,31942,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,--flatten --name --collatz,flatten_name_collatz_8fded3f9,0.796905,52168,53750,21,21,4,4,ok,ok,timeout,timeout,,,yes,yes,85.55,,92,93,43,43,yes,yes,yes,0,no,,
