sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
2.wasm,2.wasm,--name,name_39e0c058,0.706257,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias,alias_9241a323,0.77617,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.51,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory,memory_37d14aa9,1.28788,74099,89119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.44,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name,alias_name_c23acc1e,0.774871,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.48,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --memory,alias_memory_6c18d338,1.312839,74099,89533,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.2,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --memory,name_memory_23e53343,1.280008,74099,89120,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.41,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias,flatten_alias_eadaa087,1.119006,74099,92139,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,34.3,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten,flatten_af52f755,1.100303,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.95,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name,flatten_name_f0d1205b,1.096344,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,34.28,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name --memory,alias_name_memory_0e7989c7,1.332178,74099,89540,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.17,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--collatz,collatz_1f424e54,0.68177,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--cf,cf_9acd4ce6,0.682973,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--ca,ca_e5e7d06f,0.682553,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --memory,flatten_memory_0fadf670,1.567845,74099,110706,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.37,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --name,flatten_alias_name_1682dc90,1.190108,74099,92139,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.69,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --memory,flatten_alias_memory_621412b9,1.684971,74099,111135,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.78,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name --memory,flatten_name_memory_bf335b4a,1.5774,74099,110732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.94,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_4f00aa70,1.682933,74099,111134,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.55,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --cf,alias_cf_2bc9a242,0.761919,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.51,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --collatz,name_collatz_c78f7bd2,0.709614,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --ca,flatten_ca_7bd2c55b,1.108682,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.54,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --cf,name_cf_03f9218f,0.706991,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --cf,flatten_cf_99f74017,1.149601,74099,122071,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.7,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --ca,name_ca_eb9c9fa8,0.730389,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --collatz,flatten_collatz_123eacbb,1.192256,74099,122091,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.32,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --collatz,memory_collatz_f979ff90,1.238291,74099,89134,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.43,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --cf,memory_cf_83aebd34,1.251025,74099,89159,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.43,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --ca,memory_ca_8ba29b93,1.270227,74099,89113,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.44,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --collatz,alias_collatz_3893918e,6.214275,74099,218670,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.44,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --ca,alias_ca_c9ad2ace,6.282525,74099,218693,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.44,,47,48,12,4572,yes,yes,yes,0,no,,
