sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker.wasm,malign/worker.wasm,--name,name_3a97f935,0.765082,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias,alias_6daae278,0.837178,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.58,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--memory,memory_678d5e7c,1.339535,70972,84492,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.99,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --name,alias_name_53a4974a,0.823335,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.55,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --memory,alias_memory_2d02c6be,1.376272,70972,84837,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.79,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --memory,name_memory_e683a6cb,1.323345,70972,84468,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.97,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten,flatten_9eeeae5c,1.16244,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.87,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --name,flatten_name_54651e56,1.159914,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.99,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias,flatten_alias_49853d30,1.228488,70972,88320,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.4,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --name --memory,alias_name_memory_14945efc,1.385039,70972,84834,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.76,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--collatz,collatz_f625f637,0.733695,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--cf,cf_337585bf,0.733773,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--ca,ca_f3cd52eb,0.726786,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --memory,flatten_memory_56c3c337,1.738576,70972,105286,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.88,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --name,flatten_alias_name_858f46cd,1.203637,70972,88320,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.51,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --memory,flatten_alias_memory_6b4efd15,1.730444,70972,105591,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.61,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --name --memory,flatten_name_memory_db516c41,1.705777,70972,105265,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.98,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_1996b422,1.74912,70972,105612,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,29.1,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --cf,alias_cf_c5b0566a,0.83135,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.58,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --ca,flatten_ca_68cee91d,1.170325,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.45,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --collatz,name_collatz_07a1732e,0.784052,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --collatz,flatten_collatz_448e730f,1.233383,70972,116433,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.71,,45,46,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --cf,name_cf_abb556fe,0.774101,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --ca,name_ca_933c9767,0.766227,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --cf,flatten_cf_cf9e6f1c,1.25086,70972,116435,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.37,,45,46,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--memory --collatz,memory_collatz_240563ef,1.305764,70972,84475,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.99,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--memory --cf,memory_cf_19bc51c4,1.326234,70972,84512,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.99,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--memory --ca,memory_ca_e205d646,1.309528,70972,84526,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.99,,45,47,11,13,yes,yes,yes,0,no,,
