sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--name,name_310e4298,0.738793,44784,41581,17,17,5,5,ok,ok,err:1,ok,0.058095,0.051429,yes,yes,99.53,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias,alias_31f26619,0.768772,44784,42291,17,219,5,5,ok,ok,err:1,err:1,0.060678,0.057249,yes,yes,98.67,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --name,flatten_name_34f73661,0.718138,44784,44114,17,17,5,5,ok,ok,err:1,ok,0.058148,0.054238,yes,yes,88.87,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--memory,memory_3e6fb6c3,0.93544,44784,49305,17,17,5,5,ok,ok,err:1,err:1,0.059,0.053583,yes,yes,86.28,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias,flatten_alias_ab8c1576,0.777479,44784,44832,17,219,5,5,ok,ok,err:1,err:1,0.062103,0.064445,yes,yes,89.01,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten,flatten_1844ec5c,0.747754,44784,44114,17,17,5,5,ok,ok,err:1,err:1,0.053989,0.053953,yes,yes,88.21,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias --name,alias_name_1a317ec2,0.741205,44784,42354,17,219,5,5,ok,ok,err:1,ok,0.01115,0.061972,yes,yes,98.55,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias --memory,alias_memory_e98c055b,0.97204,44784,50017,17,219,5,5,ok,ok,err:1,err:1,0.015534,0.063609,yes,yes,85.55,,161,163,38,242,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias --name,flatten_alias_name_34e240af,0.787389,44784,44859,17,219,5,5,ok,ok,err:1,ok,0.011617,0.079484,yes,yes,89.01,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--name --memory,name_memory_31fe061f,0.915249,44784,49324,17,17,5,5,ok,ok,err:1,ok,0.011399,0.053987,yes,yes,86.18,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --memory,flatten_memory_4c9e5bfd,0.970039,44784,51852,17,17,5,5,ok,ok,err:1,err:1,0.011274,0.059706,yes,yes,78.49,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--collatz,collatz_d2386fdb,0.67774,44784,,17,,5,,ok,missing,err:1,,0.015734,,yes,,,,161,,38,,yes,yes,yes,0,no,,
