sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,--name,name_1615cdab,0.630832,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.048144,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory,memory_8966935a,0.631474,4828,4828,0,0,4,4,ok,ok,err:1,err:1,0.044282,0.018256,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name,flatten_name_0862293b,0.630637,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.045149,,yes,yes,90.64,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias,alias_e40f9715,0.634062,4828,4919,0,23,4,4,ok,ok,err:1,err:1,0.045043,0.036544,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten,flatten_8e0bc3c0,0.630255,4828,5249,0,0,4,4,ok,ok,err:1,err:1,0.048354,0.036383,yes,yes,90.62,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias,flatten_alias_246683dc,0.634777,4828,5340,0,23,4,4,ok,ok,err:1,err:1,0.049964,0.037143,yes,yes,89.95,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name,alias_name_8c694c8a,0.614064,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.016848,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --memory,name_memory_779c588a,0.597623,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.017952,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory,flatten_memory_47cd8fe5,0.595829,4828,5249,0,0,4,4,ok,ok,err:1,err:1,0.017515,0.037356,yes,yes,90.66,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --memory,alias_memory_87df5c6e,0.608326,4828,4919,0,23,4,4,ok,ok,err:1,err:1,0.017576,0.041951,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name,flatten_alias_name_603ad14d,0.609967,4828,5340,0,23,4,4,ok,ok,err:1,no_entry,0.01688,,yes,yes,89.98,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --memory,flatten_alias_memory_3304a8a6,0.609464,4828,5340,0,23,4,4,ok,ok,err:1,err:1,0.016002,0.034858,yes,yes,90.06,,8,8,4,27,yes,yes,yes,0,no,,
