sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,--name,name_29636f3b,0.678907,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias,alias_c94423a3,0.690905,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten,flatten_740516ee,0.677077,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name,flatten_name_f62e4040,0.689131,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias,flatten_alias_c340aa36,0.694338,4761,4770,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.46,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory,memory_8eb5461a,0.731274,4761,6982,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name,flatten_alias_name_efe61981,0.658244,4761,4770,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.46,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name,alias_name_3f117e1b,0.662051,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --memory,name_memory_952fc8ac,0.696959,4761,6968,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory,flatten_memory_7e79adeb,0.701767,4761,7099,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.47,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --memory,alias_memory_af68d0f9,0.707483,4761,6986,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.74,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --memory,flatten_alias_memory_f2e3dda2,0.701349,4761,7094,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.46,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--collatz,collatz_cbc0c7cc,0.655193,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--cf,cf_19fc1c25,0.653819,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--ca,ca_3e0ecadc,0.653711,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name --memory,alias_name_memory_311b39c7,0.724519,4761,6981,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.75,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --memory,flatten_name_memory_b60346c7,0.741416,4761,7087,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.48,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_0b628c50,0.72501,4761,7108,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.46,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --cf,flatten_cf_68211e84,0.664917,4761,4868,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,93.74,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --collatz,flatten_collatz_61e5664e,0.677264,4761,4868,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,93.74,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --ca,flatten_ca_d1327a3c,0.66342,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --cf,alias_cf_e638cb6c,0.661332,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --collatz,alias_collatz_456f5219,0.704298,4761,5182,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,98.52,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --ca,alias_ca_9952534f,0.698267,4761,5182,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,98.52,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --collatz,name_collatz_c3ccdf5b,0.668238,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --cf,name_cf_f301b8b2,0.671934,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --ca,name_ca_2726e541,0.660473,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --cf,memory_cf_277c3011,0.709916,4761,6974,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --collatz,memory_collatz_2200d0bb,0.709056,4761,6976,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --ca,memory_ca_8acfffc8,0.702789,4761,6964,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
