sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
md5.wasm,callindirect_O2/md5.wasm,--name,name_5a5116af,0.674601,38555,37411,168,168,4,4,ok,ok,err:1,err:1,0.022746,0.053498,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias,alias_fb845ebe,0.705685,38555,38441,168,459,4,4,ok,ok,err:1,err:1,0.01443,0.062793,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory,memory_f55cd44c,0.902951,38555,44104,168,168,4,4,ok,ok,err:1,err:1,0.014378,0.05786,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten,flatten_a85b34f3,0.708557,38555,41661,168,168,4,4,ok,ok,err:1,err:1,0.013094,0.059268,yes,yes,85.63,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name,flatten_name_8d6e2eb4,0.695434,38555,41661,168,168,4,4,ok,ok,err:1,err:1,0.010637,0.058808,yes,yes,84.93,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias,flatten_alias_b56ad239,0.720527,38555,42690,168,459,4,4,ok,ok,err:1,err:1,0.009308,0.078613,yes,yes,84.12,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name,alias_name_dacf4988,0.693653,38555,38441,168,459,4,4,ok,ok,err:1,err:1,0.011513,0.014954,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --memory,alias_memory_03a60c7e,0.92319,38555,45130,168,459,4,4,ok,ok,err:1,err:1,0.013918,0.067579,yes,yes,87.27,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory,name_memory_6b9b9bae,0.881813,38555,44123,168,168,4,4,ok,ok,err:1,err:1,0.015852,0.054667,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory,flatten_memory_ca7ac5e5,0.914736,38555,48387,168,168,4,4,ok,ok,err:1,err:1,0.01112,0.058309,yes,yes,73.44,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name,name_6af273dd,0.690142,38555,37411,168,168,4,4,ok,ok,err:1,err:1,0.010172,0.015152,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias,alias_39a6f31c,0.708921,38555,38441,168,459,4,4,ok,ok,err:1,err:1,0.011086,0.014165,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory,memory_760408e0,0.898167,38555,44106,168,168,4,4,ok,ok,err:1,err:1,0.009588,0.057481,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name,flatten_name_472ef99a,0.679672,38555,41661,168,168,4,4,ok,ok,err:1,err:1,0.009505,0.054313,yes,yes,86.02,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias,flatten_alias_6390a216,0.711714,38555,42690,168,459,4,4,ok,ok,err:1,err:1,0.010149,0.074655,yes,yes,83.07,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten,flatten_b9a89dfc,0.707597,38555,41661,168,168,4,4,ok,ok,err:1,err:1,0.009615,0.059794,yes,yes,83.99,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name,alias_name_74d93362,0.716338,38555,38441,168,459,4,4,ok,ok,err:1,err:1,0.014973,0.014414,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --memory,alias_memory_084def41,0.906322,38555,45147,168,459,4,4,ok,ok,err:1,err:1,0.014124,0.090662,yes,yes,87.28,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory,name_memory_deb65b23,0.916941,38555,44130,168,168,4,4,ok,ok,err:1,err:1,0.013641,0.061572,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory,flatten_memory_91238623,0.936028,38555,48359,168,168,4,4,ok,ok,err:1,err:1,0.013455,0.07616,yes,yes,74.46,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --name,flatten_alias_name_17b98abf,0.699314,38555,42690,168,459,4,4,ok,ok,err:1,err:1,0.015678,0.082221,yes,yes,82.29,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--collatz,collatz_988f0bad,0.656384,38555,,168,,4,,ok,missing,err:1,,0.013089,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--cf,cf_524d27a2,0.628318,38555,,168,,4,,ok,missing,err:1,,0.008927,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--ca,ca_98928bd4,0.659014,38555,,168,,4,,ok,missing,err:1,,0.014378,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --memory,flatten_alias_memory_bd1f4ea0,0.96906,38555,49407,168,459,4,4,ok,ok,err:1,err:1,0.010405,0.074928,yes,yes,75.42,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name --memory,flatten_name_memory_98e4b056,0.926581,38555,48370,168,168,4,4,ok,ok,err:1,err:1,0.014328,0.070488,yes,yes,74.94,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name --memory,alias_name_memory_3356deac,0.948531,38555,45154,168,459,4,4,ok,ok,err:1,err:1,0.014412,0.068989,yes,yes,87.27,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_b893619a,0.960303,38555,49392,168,459,4,4,ok,ok,err:1,err:1,0.012507,0.097814,yes,yes,73.78,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --collatz,flatten_collatz_dbf6d611,0.712041,38555,44804,168,168,4,4,ok,ok,err:1,err:1,0.009043,0.070005,yes,yes,79.79,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --ca,flatten_ca_5c1ced75,0.703306,38555,41661,168,168,4,4,ok,ok,err:1,err:1,0.015822,0.05977,yes,yes,83.7,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --cf,flatten_cf_2a6e37a3,0.723393,38555,44803,168,168,4,4,ok,ok,err:1,err:1,0.010274,0.056866,yes,yes,79.03,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --cf,alias_cf_8da0bd8a,0.717792,38555,38441,168,459,4,4,ok,ok,err:1,err:1,0.014072,0.026854,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --collatz,name_collatz_14ea692b,0.776736,38555,37411,168,168,4,4,ok,ok,err:1,err:1,0.01103,0.015972,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --cf,name_cf_b478038e,0.694224,38555,37411,168,168,4,4,ok,ok,err:1,err:1,0.014778,0.014743,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --ca,name_ca_5010fcc8,0.69325,38555,37411,168,168,4,4,ok,ok,err:1,err:1,0.010017,0.011392,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory --collatz,memory_collatz_b0965ca8,0.893379,38555,44120,168,168,4,4,ok,ok,err:1,err:1,0.012899,0.054496,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory --cf,memory_cf_d49dd171,0.867614,38555,44132,168,168,4,4,ok,ok,err:1,err:1,0.012589,0.075255,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
