sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,cf_3bdda490,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,collatz_79fb7122,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,ca_b7f16ba2,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,collatz_cf_dc9565bc,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,collatz_ca_e7d05cb8,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,cf_ca_074550ee,,52168,,21,,4,,ok,missing,timeout,,,,yes,,,,92,,43,,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,name_collatz_951edd8d,,52168,46169,21,21,4,4,ok,ok,timeout,no_entry,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,name_memory_ca_e7b76266,,52168,56799,21,21,4,4,ok,ok,timeout,no_entry,,,yes,yes,84.75,,92,94,43,45,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,flatten_cf_140569e8,,52168,53757,21,21,4,4,ok,ok,timeout,no_entry,,,yes,yes,84.84,,92,93,43,43,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,,name_f9b6a01b,,52168,46169,21,21,4,4,ok,ok,timeout,no_entry,,,yes,yes,99.52,,92,92,43,43,yes,yes,yes,0,no,,
