sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
2.wasm,2.wasm,--alias,alias_b67927a7,0.81274,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.51,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name,name_3004c74b,0.773815,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory,memory_b6be79c0,1.332077,74099,89115,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.43,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name,alias_name_e8f4b741,0.815304,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.48,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --memory,alias_memory_c0e821dd,1.368429,74099,89514,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.2,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --memory,name_memory_507efb2f,1.335017,74099,89140,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.41,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name,flatten_name_f4e2463f,1.140318,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,34.32,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten,flatten_afc9a145,1.143312,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.64,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias,flatten_alias_ec069629,1.20468,74099,92139,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,34.12,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name --memory,alias_name_memory_a01fcce9,1.380033,74099,89532,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.17,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--collatz,collatz_10fa3a38,0.726148,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--cf,cf_30f91472,0.723099,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--ca,ca_31eafaec,0.719937,74099,,3,,6,,ok,missing,no_entry,,,,yes,,,,47,,12,,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --memory,flatten_memory_9c8578c0,1.632867,74099,110759,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.94,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --name,flatten_alias_name_e175c5b3,1.204414,74099,92139,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.54,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --memory,flatten_alias_memory_70c2421a,1.749518,74099,111161,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,29.67,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name --memory,flatten_name_memory_8cf3f8ce,1.646938,74099,110697,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.07,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_c739afec,1.709788,74099,111131,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.82,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --cf,alias_cf_79348a69,0.803399,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.51,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --collatz,name_collatz_b5d589cf,0.766993,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --ca,flatten_ca_c44ad31b,1.140001,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.86,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --cf,name_cf_35de35aa,0.757885,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --cf,flatten_cf_a426389a,1.198716,74099,122081,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.34,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --collatz,flatten_collatz_8db1c3b9,1.221135,74099,122115,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.46,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --ca,name_ca_196f4ddf,0.775095,74099,70119,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.82,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --collatz,memory_collatz_80bb3189,1.307028,74099,89143,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.44,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --cf,memory_cf_cc510cd2,1.301152,74099,89109,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.43,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--memory --ca,memory_ca_860c9ca0,1.308218,74099,89113,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.44,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --collatz,alias_collatz_8ebd5835,6.207878,74099,218708,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.44,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --ca,alias_ca_5ae194c9,6.178593,74099,218732,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.44,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --cf,flatten_alias_cf_c52d6822,1.301004,74099,125661,3,1182,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.11,,47,48,12,1191,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name --collatz,flatten_name_collatz_8640ceaa,1.229531,74099,122076,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.75,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name --ca,flatten_name_ca_578e9321,1.158642,74099,91732,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.74,,47,47,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --name --cf,flatten_name_cf_87643960,1.244286,74099,122094,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.12,,47,48,12,12,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --memory --collatz,flatten_memory_collatz_93c039b4,1.973633,74099,141095,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.49,,47,50,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --memory --ca,flatten_memory_ca_46eefbc9,1.666491,74099,110713,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,29.08,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --memory --cf,flatten_memory_cf_70bcd1c9,1.977307,74099,141101,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.54,,47,50,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name --cf,alias_name_cf_f1f59ffc,0.841466,74099,70527,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.48,,47,47,12,134,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --ca,flatten_alias_ca_14987d48,6.904828,74099,240325,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,11.9,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --memory --cf,alias_memory_cf_e3fb5df0,1.379905,74099,89542,3,125,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.2,,47,49,12,136,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --memory --collatz,name_memory_collatz_ed393e06,1.385405,74099,89125,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.41,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name --collatz,alias_name_collatz_54a75f7f,6.214187,74099,218707,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.43,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --memory --cf,name_memory_cf_cbc35c05,1.354679,74099,89099,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.41,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--name --memory --ca,name_memory_ca_3f1561bd,1.326163,74099,89129,3,3,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.41,,47,49,12,14,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --name --ca,alias_name_ca_ff9bb397,6.263548,74099,218723,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,21.43,,47,48,12,4572,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --memory --collatz,alias_memory_collatz_1ef36fdf,7.557598,74099,237715,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.33,,47,50,12,4574,yes,yes,yes,0,no,,
2.wasm,2.wasm,--alias --memory --ca,alias_memory_ca_d90fb862,7.516196,74099,237695,3,4563,6,6,ok,ok,no_entry,no_entry,,,yes,yes,20.33,,47,50,12,4574,yes,yes,yes,0,no,,
2.wasm,2.wasm,--flatten --alias --name --cf,flatten_alias_name_cf_18a6faab,1.313451,74099,125665,3,1182,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.16,,47,48,12,1191,yes,yes,yes,0,no,,
