sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker.wasm,malign/worker.wasm,--name,name_766ae503,0.800521,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias,alias_b41a65af,0.835616,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.58,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--memory,memory_11839b01,1.347185,70972,84467,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.99,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --name,alias_name_be5215d2,0.79558,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.55,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --memory,alias_memory_5f82a6ba,1.361985,70972,84834,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.79,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --memory,name_memory_ffee4cf7,1.296142,70972,84517,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.97,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten,flatten_ca736f81,1.243476,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.9,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias,flatten_alias_4dd53c84,1.218774,70972,88320,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,34.14,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --name,flatten_name_2b67a391,1.159503,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.31,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --name --memory,alias_name_memory_edf062f7,1.372204,70972,84848,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,81.76,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--collatz,collatz_b8aa28f6,0.704728,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--cf,cf_97813ecb,0.709623,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--ca,ca_65832c3f,0.709202,70972,,2,,6,,ok,missing,no_entry,,,,yes,,,,45,,11,,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --memory,flatten_memory_e4852a1f,1.65052,70972,105236,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.49,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --name,flatten_alias_name_f10f4201,1.18215,70972,88320,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.84,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --memory,flatten_alias_memory_13e75b65,1.670749,70972,105563,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.46,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --name --memory,flatten_name_memory_e17df5c4,1.675947,70972,105286,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,28.94,,45,47,11,13,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_4b865721,1.731914,70972,105637,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,29.14,,45,47,11,113,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--alias --cf,alias_cf_8ad22271,0.803129,70972,67555,2,102,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.58,,45,45,11,111,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --ca,flatten_ca_30b1d657,1.14491,70972,87980,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,33.52,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--name --collatz,name_collatz_de18d0ae,0.76054,70972,67214,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,97.85,,45,45,11,11,yes,yes,yes,0,no,,
worker.wasm,malign/worker.wasm,--flatten --cf,flatten_cf_d79f1d2e,1.188336,70972,116443,2,2,6,6,ok,ok,no_entry,no_entry,,,yes,yes,24.09,,45,46,11,11,yes,yes,yes,0,no,,
