sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--name,name_47f5d870,0.746365,44784,41581,17,17,5,5,ok,ok,ok,no_entry,0.057029,,yes,yes,99.53,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias,alias_30b2cc2b,0.782047,44784,42289,17,219,5,5,ok,ok,ok,no_entry,0.060395,,yes,yes,98.66,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten,flatten_debbe549,0.758406,44784,44114,17,17,5,5,ok,ok,ok,no_entry,0.060677,,yes,yes,90.95,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --name,flatten_name_d8f1f563,0.760097,44784,44114,17,17,5,5,ok,ok,ok,no_entry,0.060256,,yes,yes,90.34,,161,161,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias,flatten_alias_3a4d60ac,0.77787,44784,44832,17,219,5,5,ok,ok,ok,no_entry,0.063197,,yes,yes,88.65,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--memory,memory_f386cce0,0.999142,44784,49289,17,17,5,5,ok,ok,ok,no_entry,0.063856,,yes,yes,86.28,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias --name,alias_name_32f97aaa,0.738741,44784,42317,17,219,5,5,ok,ok,ok,no_entry,0.025523,,yes,yes,98.55,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias --name,flatten_alias_name_808a42e7,0.725729,44784,44881,17,219,5,5,ok,ok,ok,no_entry,0.024557,,yes,yes,89.49,,161,161,38,240,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --memory,flatten_memory_768b3a1c,0.949616,44784,51825,17,17,5,5,ok,ok,ok,no_entry,0.023683,,yes,yes,78.08,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--name --memory,name_memory_e289a731,0.955754,44784,49285,17,17,5,5,ok,ok,ok,no_entry,0.022285,,yes,yes,86.18,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias --memory,alias_memory_d495ee31,1.003868,44784,50016,17,219,5,5,ok,ok,ok,no_entry,0.022,,yes,yes,85.54,,161,163,38,242,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--collatz,collatz_75f0ef28,0.687639,44784,,17,,5,,ok,missing,ok,,0.023004,,yes,,,,161,,38,,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--cf,cf_5afdc13b,0.686299,44784,,17,,5,,ok,missing,ok,,0.023425,,yes,,,,161,,38,,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--ca,ca_95a16ba0,0.698813,44784,,17,,5,,ok,missing,ok,,0.021314,,yes,,,,161,,38,,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias --memory,flatten_alias_memory_63d05eed,0.988054,44784,52597,17,219,5,5,ok,ok,ok,no_entry,0.023199,,yes,yes,78.24,,161,163,38,242,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --name --memory,flatten_name_memory_625d5a87,0.954646,44784,51814,17,17,5,5,ok,ok,ok,no_entry,0.019213,,yes,yes,76.68,,161,163,38,40,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--alias --name --memory,alias_name_memory_67177e58,0.981768,44784,50054,17,219,5,5,ok,ok,ok,no_entry,0.024237,,yes,yes,85.44,,161,163,38,242,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --collatz,flatten_collatz_d35b0d44,0.7573,44784,46467,17,17,5,5,ok,ok,ok,no_entry,0.022016,,yes,yes,88.87,,161,162,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_eb71f32e,0.985818,44784,52544,17,219,5,5,ok,ok,ok,no_entry,0.02493,,yes,yes,76.63,,161,163,38,242,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --cf,flatten_cf_4df4a895,0.766878,44784,46458,17,17,5,5,ok,ok,ok,no_entry,0.023995,,yes,yes,88.35,,161,162,38,38,yes,yes,yes,0,no,,
2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,2260aff96d62226a80d6cf2ac7c2c6dfed47116691c12bf781e9303fbe972bde.wasm,--flatten --ca,flatten_ca_2f2c68d2,0.718818,44784,44114,17,17,5,5,ok,ok,ok,no_entry,0.023089,,yes,yes,91.16,,161,161,38,38,yes,yes,yes,0,no,,
