sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,--name,name_df481603,0.659421,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.016085,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory,memory_de2a21ef,0.66516,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.016699,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias,alias_d88635db,0.66433,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.014963,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten,flatten_6181aa3e,0.658484,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.016125,,yes,yes,90.67,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name,flatten_name_3f3ae5a8,0.660348,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.014849,,yes,yes,90.58,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias,flatten_alias_2e7152f4,0.665966,4828,5340,0,23,4,4,ok,ok,err:1,no_entry,0.016573,,yes,yes,89.99,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name,alias_name_8145bbf3,0.661363,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.015515,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --memory,name_memory_127f1d57,0.662868,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.014125,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory,flatten_memory_3db9198a,0.695921,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.015311,,yes,yes,90.67,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --memory,alias_memory_f8f0ba6a,0.661047,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.018673,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name,flatten_alias_name_9fbc6b8e,0.664369,4828,5340,0,23,4,4,ok,ok,err:1,no_entry,0.015194,,yes,yes,89.92,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --memory,flatten_alias_memory_12cba4f3,0.693586,4828,5340,0,23,4,4,ok,ok,err:1,no_entry,0.016235,,yes,yes,89.99,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--collatz,collatz_6deafcd8,0.675196,4828,,0,,4,,ok,missing,err:1,,0.022043,,yes,,,,8,,4,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--cf,cf_b91dd456,0.6635,4828,,0,,4,,ok,missing,err:1,,0.019176,,yes,,,,8,,4,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--ca,ca_d7fd8638,0.648742,4828,,0,,4,,ok,missing,err:1,,0.019709,,yes,,,,8,,4,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name --memory,alias_name_memory_206e6841,0.664235,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.017586,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --memory,flatten_name_memory_5bd1447a,0.666881,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.019674,,yes,yes,90.71,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_e91d4afe,0.664216,4828,5340,0,23,4,4,ok,ok,err:1,no_entry,0.015337,,yes,yes,89.93,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --collatz,flatten_collatz_6df5bfcd,0.665416,4828,5868,0,0,4,4,ok,ok,err:1,no_entry,0.022618,,yes,yes,85.51,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --ca,flatten_ca_67dd37df,0.665388,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.014932,,yes,yes,90.78,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --cf,flatten_cf_024669a0,0.671,4828,5872,0,0,4,4,ok,ok,err:1,no_entry,0.0159,,yes,yes,85.53,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --cf,alias_cf_cd419c3a,0.662663,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.015324,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --collatz,alias_collatz_b82464fc,0.776569,4828,15076,0,184,4,4,ok,ok,err:1,no_entry,0.020336,,yes,yes,44.93,,8,9,4,188,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --ca,alias_ca_a8c66cda,0.783919,4828,15085,0,184,4,4,ok,ok,err:1,no_entry,0.015973,,yes,yes,44.93,,8,9,4,188,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --cf,name_cf_73dee3da,0.662652,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.017476,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --collatz,name_collatz_0284e5cf,0.663429,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.016427,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --ca,name_ca_b03fe2a0,0.657495,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.018468,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --collatz,memory_collatz_37570047,0.657983,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.018186,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --cf,memory_cf_ad0ec369,0.660321,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.020111,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory --ca,memory_ca_2f790a39,0.658833,4828,4828,0,0,4,4,ok,ok,err:1,no_entry,0.01774,,yes,yes,100.0,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --cf,flatten_alias_cf_4219bc4f,0.673558,4828,6006,0,35,4,4,ok,ok,err:1,no_entry,0.014874,,yes,yes,84.66,,8,9,4,39,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --collatz,flatten_name_collatz_63e7c62b,0.667644,4828,5868,0,0,4,4,ok,ok,err:1,no_entry,0.016583,,yes,yes,85.5,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --cf,flatten_name_cf_d6448de0,0.664016,4828,5875,0,0,4,4,ok,ok,err:1,no_entry,0.017142,,yes,yes,85.49,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --ca,flatten_name_ca_150b2f7a,0.661492,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.017049,,yes,yes,90.58,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --ca,flatten_alias_ca_9c96f615,0.804402,4828,15506,0,184,4,4,ok,ok,err:1,no_entry,0.014381,,yes,yes,37.44,,8,9,4,188,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --collatz,flatten_alias_collatz_6299b530,0.939003,4828,23370,0,315,4,4,ok,ok,err:1,no_entry,0.015484,,yes,yes,26.63,,8,10,4,319,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory --collatz,flatten_memory_collatz_8be23785,0.724054,4828,5872,0,0,4,4,ok,ok,err:1,no_entry,0.016702,,yes,yes,85.59,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory --cf,flatten_memory_cf_6b526be9,0.672101,4828,5873,0,0,4,4,ok,ok,err:1,no_entry,0.015911,,yes,yes,85.61,,8,9,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory --ca,flatten_memory_ca_7eae6e4b,0.659975,4828,5249,0,0,4,4,ok,ok,err:1,no_entry,0.018355,,yes,yes,90.63,,8,8,4,4,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name --cf,alias_name_cf_99e44101,0.66806,4828,4919,0,23,4,4,ok,ok,err:1,no_entry,0.014994,,yes,yes,99.29,,8,8,4,27,yes,yes,yes,0,no,,
