sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,--alias,alias_7476acdd,0.69163,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name,name_acd27238,0.679942,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias,flatten_alias_75b2692b,0.668027,4761,4770,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.46,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten,flatten_dd7ee657,0.691636,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name,flatten_name_d763773a,0.659988,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--memory,memory_176ed278,0.706974,4761,6972,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.76,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name,alias_name_1dfc2a9f,0.663311,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name,flatten_alias_name_77c6ee61,0.664649,4761,4770,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.46,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --memory,alias_memory_9b1b71a6,0.721835,4761,6995,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.74,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --memory,flatten_memory_2963a673,0.711357,4761,7085,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.48,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --memory,name_memory_b31660ac,0.706007,4761,6984,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.77,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --memory,flatten_alias_memory_8b0a531d,0.721712,4761,7121,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.45,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--collatz,collatz_4c257d0f,0.649144,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--cf,cf_424a1ca8,0.649585,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--ca,ca_079b5b10,0.647115,4761,,0,,4,,ok,missing,no_entry,,,,yes,,,,6,,3,,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --name --memory,flatten_name_memory_31cdf467,0.695772,4761,7088,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.47,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --name --memory,alias_name_memory_6b226834,0.702155,4761,6984,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,74.74,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_1d5e38f9,0.735104,4761,7116,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,70.45,,6,8,3,5,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --collatz,flatten_collatz_c94a71ec,0.666095,4761,4867,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,93.74,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --cf,flatten_cf_4a00ddb7,0.662932,4761,4868,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,93.74,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--flatten --ca,flatten_ca_e93fb9f1,0.653375,4761,4749,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,94.49,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --cf,alias_cf_fd9e7bef,0.664623,4761,4656,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.81,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --collatz,alias_collatz_f3c07b21,0.687713,4761,5182,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,98.52,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--alias --ca,alias_ca_a82688fe,0.69087,4761,5182,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,98.52,,6,7,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --collatz,name_collatz_6a35164b,0.657233,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --cf,name_cf_abafdc71,0.655626,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,--name --ca,name_ca_20ed7a29,0.656436,4761,4635,0,0,4,4,ok,ok,no_entry,no_entry,,,yes,yes,99.85,,6,6,3,3,yes,yes,yes,0,no,,
