sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
md5.wasm,callindirect_O2/md5.wasm,--name,name_9c47800c,4.44007,38555,37411,168,168,4,4,ok,ok,err:1,no_entry,0.073704,,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias,alias_5660e2f8,4.512892,38555,38441,168,459,4,4,ok,ok,err:1,no_entry,0.110793,,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory,memory_ef507062,4.913157,38555,44118,168,168,4,4,ok,ok,err:1,no_entry,0.116318,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name,flatten_name_1a5cd07f,4.481435,38555,41661,168,168,4,4,ok,ok,err:1,no_entry,0.099739,,yes,yes,85.67,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten,flatten_2bb3cc34,4.476033,38555,41661,168,168,4,4,ok,ok,err:1,no_entry,0.075641,,yes,yes,84.72,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias,flatten_alias_b7bbb0bf,4.523507,38555,42690,168,459,4,4,ok,ok,err:1,no_entry,0.068419,,yes,yes,81.34,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name,alias_name_aef6b831,0.69531,38555,38441,168,459,4,4,ok,ok,err:1,no_entry,0.019247,,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --memory,alias_memory_6bd918e9,0.901278,38555,45161,168,459,4,4,ok,ok,err:1,no_entry,0.02244,,yes,yes,87.27,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory,name_memory_0e463b61,0.852016,38555,44100,168,168,4,4,ok,ok,err:1,no_entry,0.023781,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory,flatten_memory_8d025e0f,0.914731,38555,48363,168,168,4,4,ok,ok,err:1,no_entry,0.025452,,yes,yes,76.42,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--collatz,collatz_985a6055,0.648397,38555,,168,,4,,ok,missing,err:1,,0.016799,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --name,flatten_alias_name_2fa1327c,0.710345,38555,42690,168,459,4,4,ok,ok,err:1,no_entry,0.021062,,yes,yes,83.17,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--cf,cf_ddbc274c,0.655361,38555,,168,,4,,ok,missing,err:1,,0.017533,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--ca,ca_6e274370,0.659633,38555,,168,,4,,ok,missing,err:1,,0.022862,,yes,,,,70,,182,,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --memory,flatten_alias_memory_eaa93f4f,1.070031,38555,49394,168,459,4,4,ok,ok,err:1,no_entry,0.02454,,yes,yes,74.06,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name --memory,flatten_name_memory_7dd704c0,0.907684,38555,48366,168,168,4,4,ok,ok,err:1,no_entry,0.022352,,yes,yes,74.89,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name --memory,alias_name_memory_166624f8,0.879046,38555,45168,168,459,4,4,ok,ok,err:1,no_entry,0.01876,,yes,yes,87.27,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --name --memory,flatten_alias_name_memory_b899a503,0.918342,38555,49403,168,459,4,4,ok,ok,err:1,no_entry,0.018984,,yes,yes,75.46,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --cf,flatten_cf_e38c4e60,0.726954,38555,44798,168,168,4,4,ok,ok,err:1,no_entry,0.020082,,yes,yes,83.0,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --collatz,flatten_collatz_05c72459,0.720292,38555,44811,168,168,4,4,ok,ok,err:1,no_entry,0.020039,,yes,yes,80.85,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --ca,flatten_ca_94a1d897,0.682351,38555,41661,168,168,4,4,ok,ok,err:1,no_entry,0.017287,,yes,yes,83.02,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --cf,alias_cf_b9df0ab5,2.877636,38555,38441,168,459,4,4,ok,ok,err:1,no_entry,0.030336,,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --collatz,name_collatz_c401d7eb,5.557578,38555,37411,168,168,4,4,ok,ok,err:1,no_entry,0.038915,,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --cf,name_cf_afaa3d67,5.680435,38555,37411,168,168,4,4,ok,ok,err:1,no_entry,0.193096,,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --ca,name_ca_b911d012,4.413065,38555,37411,168,168,4,4,ok,ok,err:1,no_entry,0.092296,,yes,yes,99.74,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory --collatz,memory_collatz_aa3da240,4.903513,38555,44132,168,168,4,4,ok,ok,err:1,no_entry,0.028838,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory --cf,memory_cf_9b628032,7.96861,38555,44131,168,168,4,4,ok,ok,err:1,no_entry,0.176186,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--memory --ca,memory_ca_625768cf,7.695526,38555,44121,168,168,4,4,ok,ok,err:1,no_entry,0.206028,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --cf,flatten_alias_cf_704c9b9b,7.394402,38555,46311,168,578,4,4,ok,ok,err:1,no_entry,0.074696,,yes,yes,79.17,,70,71,182,583,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name --collatz,flatten_name_collatz_311a33a2,7.136163,38555,44798,168,168,4,4,ok,ok,err:1,no_entry,0.323445,,yes,yes,80.58,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name --cf,flatten_name_cf_8b196e77,2.182971,38555,44817,168,168,4,4,ok,ok,err:1,no_entry,0.131977,,yes,yes,82.74,,70,71,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --name --ca,flatten_name_ca_a80281d7,0.69747,38555,41661,168,168,4,4,ok,ok,err:1,no_entry,0.021736,,yes,yes,83.65,,70,70,182,182,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory --collatz,flatten_memory_collatz_96e58a5c,0.998599,38555,51526,168,168,4,4,ok,ok,err:1,no_entry,0.019787,,yes,yes,72.33,,70,73,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory --cf,flatten_memory_cf_198dceda,1.114101,38555,51509,168,168,4,4,ok,ok,err:1,no_entry,0.028759,,yes,yes,70.99,,70,73,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --memory --ca,flatten_memory_ca_845cdfc2,0.904252,38555,48383,168,168,4,4,ok,ok,err:1,no_entry,0.018768,,yes,yes,75.52,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name --cf,alias_name_cf_f6a91dd0,0.706398,38555,38441,168,459,4,4,ok,ok,err:1,no_entry,0.021718,,yes,yes,98.26,,70,70,182,473,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --collatz,alias_collatz_bb1ee50f,29.565114,38555,722262,168,18928,4,4,ok,ok,err:1,no_entry,0.025323,,yes,yes,2.23,,70,71,182,18942,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name --ca,alias_name_ca_379f9f69,29.736664,38555,722315,168,18928,4,4,ok,ok,err:1,no_entry,0.021696,,yes,yes,2.23,,70,71,182,18942,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --memory --cf,alias_memory_cf_a9f171c1,0.915241,38555,45161,168,459,4,4,ok,ok,err:1,no_entry,0.023429,,yes,yes,87.28,,70,72,182,475,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --name --collatz,alias_name_collatz_f585810a,30.258537,38555,722323,168,18928,4,4,ok,ok,err:1,no_entry,0.01719,,yes,yes,2.23,,70,71,182,18942,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--alias --ca,alias_ca_3559dfec,30.120362,38555,722241,168,18928,4,4,ok,ok,err:1,no_entry,0.017237,,yes,yes,2.23,,70,71,182,18942,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory --collatz,name_memory_collatz_bad0b18b,0.933687,38555,44109,168,168,4,4,ok,ok,err:1,no_entry,0.02469,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory --cf,name_memory_cf_11c64652,0.928505,38555,44137,168,168,4,4,ok,ok,err:1,no_entry,0.020348,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--name --memory --ca,name_memory_ca_58976509,0.919476,38555,44102,168,168,4,4,ok,ok,err:1,no_entry,0.021389,,yes,yes,88.48,,70,72,182,184,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --name --cf,flatten_alias_name_cf_371525c6,0.768596,38555,46298,168,578,4,4,ok,ok,err:1,no_entry,0.024574,,yes,yes,78.97,,70,71,182,583,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,--flatten --alias --ca,flatten_alias_ca_242753de,30.975023,38555,726559,168,18928,4,4,ok,ok,err:1,no_entry,0.015853,,yes,yes,2.12,,70,71,182,18942,yes,yes,yes,0,no,,
