sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,wasmer_valid_orig,wasmer_valid_obf,semantic_equivalence_bool,wasmer_error_orig,wasmer_error_obf
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole,mut1,26183,26176,13,13,4,4,45,yes,yes,50,ok,51,ok,yes,yes,99.99,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole,mut2,26183,26200,13,13,4,4,24,yes,yes,50,ok,47,ok,yes,yes,99.99,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole,mut3,26183,26193,13,13,4,4,49,yes,yes,50,ok,51,ok,yes,yes,99.99,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,add_type,mut1,26183,26183,13,13,4,4,53,yes,yes,50,ok,62,ok,yes,yes,100.00,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,add_type,mut2,26183,25414,13,12,4,5,39,yes,yes,50,ok,49,ok,yes,yes,98.92,0.00,60,60,26,25,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,add_type,mut3,26183,20171,13,13,4,4,33,yes,yes,50,ok,47,fail,yes,yes,84.65,0.00,60,60,26,26,,,yes,no,yes,no,no,, | 
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole_add_type,mut1,26183,26197,13,13,4,4,24,yes,yes,50,ok,54,ok,yes,yes,99.98,0.00,60,60,26,26,,,yes,yes,yes,no,no,, | error: Spawn failed | ╰─▶ 1: Missing export No imported or exported memory found
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole_add_type,mut2,26183,25480,13,13,4,4,46,yes,yes,50,ok,50,ok,yes,yes,99.44,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,peephole_add_type,mut3,26183,26120,13,13,4,4,58,yes,yes,50,ok,80,fail,yes,yes,99.97,0.00,60,60,26,26,,,yes,no,yes,no,no,, | RuntimeError: undefined element: out of bounds table access |     at fiypqock (<module>[40]:0x27d6) |     at lgbsexhw (<module>[50]:0x2e28) |     at zuasovqw (<module>[49]:0x2c56) |     at jvwzsxfq (<module>[28]:0x22e6) |     at dwkqzgei (<module>[9]:0x34a) |     at notkexia (<module>[16]:0x21d4) |     at bsauxqci (<module>[8]:0x1fb)
1b-4-1-0-0-dc-2-1-0.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/basic-algorithms/nameOB/1b-4-1-0-0-dc-2-1-0.wasm,add_function,mut1,26183,26183,13,13,4,4,44,yes,yes,50,ok,23,ok,yes,yes,100.00,0.00,60,60,26,26,,,yes,yes,yes,yes,yes,,
