sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,wasmer_valid_orig,wasmer_valid_obf,semantic_equivalence_bool,wasmer_error_orig,wasmer_error_obf
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole,mut1,52168,51027,21,21,4,4,59,yes,yes,85,ok,68,ok,yes,yes,99.07,0.00,92,92,43,43,,,yes,yes,no,no,no,timeout_expired,timeout_expired
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole,mut2,52168,52637,21,23,4,4,73,yes,yes,85,ok,85,ok,yes,yes,99.72,0.00,92,92,43,45,,,yes,yes,no,no,no,timeout_expired,timeout_expired
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole,mut3,52168,52163,21,21,4,4,113,yes,yes,85,ok,70,fail,yes,yes,99.99,0.00,92,93,43,43,,,yes,no,no,no,no,timeout_expired, | 
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,add_type,mut1,52168,51753,21,21,4,4,46,yes,yes,85,ok,74,ok,yes,yes,99.67,0.00,92,92,43,43,,,yes,yes,no,no,no,timeout_expired,timeout_expired
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,add_type,mut2,52168,49561,21,23,4,4,57,yes,yes,85,ok,70,fail,yes,yes,99.71,0.00,92,92,43,45,,,yes,no,no,no,no,timeout_expired, | RuntimeError: uninitialized element |     at slist_new_conf (<module>[11]:0x87b) |     at slist_new (<module>[10]:0x822) |     at setup_test (<module>[6]:0x207) |     at __original_main (<module>[8]:0x5c0) |     at _start (<module>[5]:0x1d9) |     at _start.command_export (<module>[90]:0xa83a)
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,add_type,mut3,52168,52081,21,21,4,4,43,yes,yes,85,ok,68,fail,yes,yes,99.94,0.00,92,93,43,43,,,yes,no,no,no,no,timeout_expired, | 
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole_add_type,mut1,52168,50700,21,21,4,4,47,yes,yes,85,ok,65,fail,yes,yes,99.23,0.00,92,92,43,43,,,yes,no,no,no,no,timeout_expired, | Assertion failed: 3 == slist_size(list) (/home/ningyu/collections-c-for-gillian/for-klee/normal/slist/slist_test_removeAt.c: main: RuntimeError: unreachable |     at abort (<module>[30]:0x3ea8) |     at __assert_fail (<module>[40]:0x3f85) |     at __original_main (<module>[8]:0x39c) |     at _start (<module>[5]:0x1e5) |     at _start.command_export (<module>[90]:0xadfa)
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole_add_type,mut2,52168,7201838,21,21,4,309,201,yes,yes,85,ok,191,ok,yes,yes,7.70,0.00,92,92,43,43,,,yes,yes,no,no,no,timeout_expired, | error: Spawn failed | ╰─▶ 1: Failed to create the instance - RuntimeError: out of bounds memory access
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,peephole_add_type,mut3,52168,51895,21,21,4,4,43,yes,yes,85,ok,69,fail,yes,yes,99.99,0.00,92,92,43,43,,,yes,no,no,no,no,timeout_expired, | RuntimeError: unreachable |     at __wasi_fd_read (<module>[32]:0x4324) |     at read (<module>[49]:0x471b) |     at __stdio_read (<module>[50]:0x47c1) |     at __uflow (<module>[54]:0x4a9c) |     at __shgetc (<module>[56]:0x4b41) |     at vfscanf (<module>[65]:0x734d) |     at vscanf (<module>[67]:0x7a79) |     at scanf (<module>[41]:0x4402) |     at setup_test (<module>[6]:0x259) |     at __original_main (<module>[8]:0x6c4) |     at _start (<module>[5]:0x1e5) |     at _start.command_export (<module>[90]:0xb257)
slist_test_removeAt.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/GillianC/slist/slist_test_removeAt.wasm,add_function,mut1,52168,52151,21,21,4,4,29,yes,yes,85,ok,66,fail,yes,yes,100.00,0.00,92,92,43,43,,,yes,no,no,no,no,timeout_expired, | 
