sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,wasmer_valid_orig,wasmer_valid_obf,semantic_equivalence_bool,wasmer_error_orig,wasmer_error_obf
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut1,38555,38468,168,169,4,4,43,yes,yes,107,ok,103,ok,yes,yes,99.44,0.00,70,70,182,183,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole/mut1/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut2,38555,38569,168,168,4,4,39,yes,yes,107,ok,111,ok,yes,yes,99.99,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole/mut2/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut3,38555,37411,168,168,4,4,31,yes,yes,107,ok,94,ok,yes,yes,99.67,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole/mut3/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut1,38555,38435,168,168,4,4,31,yes,yes,107,ok,95,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/add_type/mut1/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut2,38555,38574,168,168,4,4,35,yes,yes,107,ok,108,ok,yes,yes,99.99,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/add_type/mut2/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut3,38555,713751,168,168,4,77,78,yes,yes,107,ok,119,ok,yes,yes,41.77,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Failed to create the instance - RuntimeError: out of bounds memory access
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut1,38555,38748,168,170,4,4,48,yes,yes,107,ok,107,ok,yes,yes,99.20,0.00,70,70,182,184,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole_add_type/mut1/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut2,38555,38770,168,169,4,0,36,yes,yes,107,ok,90,ok,yes,yes,ERROR,0.00,70,70,182,183,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole_add_type/mut2/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut3,38555,38527,168,168,4,4,33,yes,yes,107,ok,101,fail,yes,yes,99.96,0.00,70,70,182,182,,,yes,no,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | RuntimeError: out of bounds memory access |     at memcpy (<module>[57]:0x7baf) |     at __fwritex (<module>[37]:0x3a4f) |     at printf_core (<module>[48]:0x4206) |     at vfprintf (<module>[47]:0x4022) |     at printf (<module>[52]:0x7875) |     at main (<module>[11]:0xfb7) |     at __main_void (<module>[20]:0x3405) |     at __original_main (<module>[21]:0x3445) |     at _start (<module>[7]:0x222) |     at _start.command_export (<module>[65]:0x8509)
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut1,38555,1576391,168,169,4,104,108,yes,yes,107,ok,134,ok,yes,yes,23.94,0.00,70,70,182,183,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Failed to create the instance - RuntimeError: out of bounds memory access
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut2,38555,38419,168,168,4,4,29,yes,yes,107,ok,107,ok,yes,yes,99.98,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut3,38555,38600,168,168,4,4,30,yes,yes,107,ok,97,ok,yes,yes,99.97,0.00,70,71,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/add_function/mut3/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut1,38555,38000,168,164,4,4,37,yes,yes,107,ok,104,fail,yes,yes,99.48,0.00,70,70,182,178,,,yes,no,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | RuntimeError: uninitialized element |     at __wasi_args_sizes_get (<module>[23]:0x3447) |     at __main_void (<module>[20]:0x337d) |     at __original_main (<module>[21]:0x33f8) |     at _start (<module>[7]:0x1d5) |     at _start.command_export (<module>[65]:0x82de)
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut2,38555,39408,168,168,4,0,35,yes,yes,107,ok,96,ok,yes,yes,ERROR,0.00,70,0,182,0,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole_add_function/mut2/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut3,38555,38565,168,168,4,4,30,yes,yes,107,ok,100,ok,yes,yes,99.99,0.00,70,72,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/peephole_add_function/mut3/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut1,38555,38584,168,168,4,4,35,yes,yes,107,ok,99,ok,yes,yes,99.99,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/add_type_add_function/mut1/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut2,38555,38546,168,168,4,4,24,yes,yes,107,ok,105,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Missing export No imported or exported memory found
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut3,38555,38555,168,168,4,4,34,yes,yes,107,ok,30,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | ,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/WasmMutate_Results_wasmer/realworld_program/md5.wasm/add_type_add_function/mut3/md5-mut-0.wasm 'string' | 
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type_add_function,mut1,38555,1720928,168,166,4,214,132,yes,yes,107,ok,150,ok,yes,yes,22.44,0.00,70,70,182,180,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Failed to create the instance - RuntimeError: out of bounds memory access
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type_add_function,mut2,38555,8474828,168,168,4,281,434,yes,yes,107,ok,285,ok,yes,yes,5.46,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Failed to create the instance - RuntimeError: out of bounds memory access
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type_add_function,mut3,38555,38552,168,168,4,4,28,yes,yes,107,ok,88,ok,yes,yes,99.99,0.00,70,70,182,182,,,yes,yes,no,no,no,usage: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/realworld_program/callindirect_O2/md5.wasm 'string' | , | error: Spawn failed | ╰─▶ 1: Missing export No imported or exported memory found
