sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole,mut1,4828,4863,0,0,4,4,170,yes,yes,175,ok,160,ok,yes,yes,99.76,0.00,8,9,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole,mut2,4828,4840,0,0,4,4,68,yes,yes,175,ok,178,ok,yes,yes,99.90,0.00,8,9,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole,mut3,4828,4838,0,0,4,4,64,yes,yes,175,ok,156,ok,yes,yes,98.78,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_type,mut1,4828,4821,0,0,4,4,82,yes,yes,175,ok,154,ok,yes,yes,99.98,0.00,8,7,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_type,mut2,4828,4868,0,0,4,4,61,yes,yes,175,ok,145,ok,yes,yes,99.82,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_type,mut3,4828,4823,0,0,4,4,67,yes,yes,175,ok,155,ok,yes,yes,99.93,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole_add_type,mut1,4828,4821,0,0,4,4,65,yes,yes,175,ok,167,ok,yes,yes,99.92,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole_add_type,mut2,4828,4673,0,0,4,4,82,yes,yes,175,ok,165,ok,yes,yes,98.35,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole_add_type,mut3,4828,1620,0,0,4,4,69,yes,yes,175,ok,169,ok,yes,yes,38.76,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_function,mut1,4828,4869,0,0,4,4,62,yes,yes,175,ok,165,ok,yes,yes,99.80,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_function,mut2,4828,4857,0,0,4,4,58,yes,yes,175,ok,150,ok,yes,yes,99.91,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,add_function,mut3,4828,4207,0,0,4,4,63,yes,yes,175,ok,168,ok,yes,yes,94.37,0.00,8,7,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole_add_function,mut1,4828,4849,0,0,4,4,89,yes,yes,175,ok,151,ok,yes,yes,99.82,0.00,8,7,4,4,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/Wasmutate_Wasmer/sub_data_test/btree_manticore/5o1u.wasm,peephole_add_function,mut2,4828,4866,0,0,4,4,65,yes,yes,175,ok,161,ok,yes,yes,99.82,0.00,8,8,4,4,,,yes,yes,yes,yes,yes,0,no,,
