sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole,mut1,4761,4623,0,0,4,4,26,yes,yes,13,ok,23,ok,yes,yes,98.17,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole,mut2,4761,872,0,0,4,4,20,yes,yes,13,ok,20,ok,yes,yes,9.36,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole,mut3,4761,4761,0,0,4,0,19,yes,yes,13,ok,24,ok,yes,yes,ERROR,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type,mut1,4761,4768,0,0,4,0,24,yes,yes,13,ok,21,ok,yes,yes,ERROR,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type,mut2,4761,4578,0,0,4,4,21,yes,yes,13,ok,25,ok,yes,yes,98.39,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type,mut3,4761,4600,0,0,4,4,21,yes,yes,13,ok,25,ok,yes,yes,98.28,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type,mut1,4761,4745,0,0,4,4,25,yes,yes,13,ok,28,ok,yes,yes,99.67,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type,mut2,4761,4767,0,0,4,4,21,yes,yes,13,ok,13,ok,yes,yes,99.95,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type,mut3,4761,1485,0,0,4,4,17,yes,yes,13,ok,13,ok,yes,yes,36.58,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function,mut1,4761,4754,0,0,4,4,17,yes,yes,13,ok,24,ok,yes,yes,99.99,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function,mut2,4761,4761,0,0,4,0,18,yes,yes,13,ok,22,ok,yes,yes,ERROR,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function,mut3,4761,4517,0,0,4,4,24,yes,yes,13,ok,26,ok,yes,yes,98.67,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function,mut1,4761,4767,0,0,4,4,23,yes,yes,13,ok,12,ok,yes,yes,99.95,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function,mut2,4761,4707,0,0,4,4,25,yes,yes,13,ok,27,ok,yes,yes,99.70,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function,mut3,4761,4761,0,0,4,4,21,yes,yes,13,ok,23,ok,yes,yes,99.89,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function,mut1,4761,4455,0,0,4,4,22,yes,yes,13,ok,27,ok,yes,yes,98.10,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function,mut2,4761,4719,0,0,4,4,25,yes,yes,13,ok,23,ok,yes,yes,98.96,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function,mut3,4761,4752,0,0,4,4,26,yes,yes,13,ok,24,ok,yes,yes,99.85,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function,mut1,4761,4857,0,0,4,0,22,yes,yes,13,ok,27,ok,yes,yes,ERROR,0.00,6,0,3,0,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function,mut2,4761,1360,0,0,4,4,19,yes,yes,13,ok,20,ok,yes,yes,33.75,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function,mut3,4761,736,0,0,4,4,19,yes,yes,13,ok,20,ok,yes,yes,10.97,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,remove_dead_code,mut1,4761,6483627,0,0,4,342,141,yes,yes,13,ok,87,fail,yes,yes,0.86,0.00,6,6,3,3,,,yes,no,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,remove_dead_code,mut2,4761,4764,0,0,4,0,25,yes,yes,13,ok,23,ok,yes,yes,ERROR,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,remove_dead_code,mut3,4761,4778,0,0,4,4,28,yes,yes,13,ok,24,ok,yes,yes,99.89,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_remove_dead_code,mut1,4761,4793,0,0,4,4,31,yes,yes,13,ok,24,ok,yes,yes,99.83,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_remove_dead_code,mut2,4761,4761,0,0,4,4,22,yes,yes,13,ok,16,ok,yes,yes,100.00,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_remove_dead_code,mut3,4761,4578,0,0,4,4,38,yes,yes,13,ok,12,ok,yes,yes,98.39,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_remove_dead_code,mut1,4761,4761,0,0,4,0,57,yes,yes,13,ok,25,ok,yes,yes,ERROR,0.00,6,0,3,0,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_remove_dead_code,mut2,4761,4768,0,0,4,4,48,yes,yes,13,ok,27,ok,yes,yes,99.92,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_remove_dead_code,mut3,4761,4759,0,0,4,4,20,yes,yes,13,ok,27,ok,yes,yes,98.84,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_remove_dead_code,mut1,4761,7279153,0,0,4,172,131,yes,yes,13,ok,93,fail,yes,yes,0.77,0.00,6,6,3,3,,,yes,no,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_remove_dead_code,mut2,4761,1373,0,0,4,4,32,yes,yes,13,ok,20,ok,yes,yes,35.85,0.00,6,5,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_remove_dead_code,mut3,4761,4759,0,0,4,0,40,yes,yes,13,ok,41,ok,yes,yes,ERROR,0.00,6,0,3,0,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function_remove_dead_code,mut1,4761,4708,0,0,4,4,49,yes,yes,13,ok,14,ok,yes,yes,99.71,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function_remove_dead_code,mut2,4761,4501,0,0,4,4,26,yes,yes,13,ok,27,ok,yes,yes,97.38,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_function_remove_dead_code,mut3,4761,1518,0,0,4,4,33,yes,yes,13,ok,41,ok,yes,yes,36.45,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function_remove_dead_code,mut1,4761,4146,0,0,4,4,46,yes,yes,13,ok,27,ok,yes,yes,94.32,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function_remove_dead_code,mut2,4761,4761,0,0,4,4,51,yes,yes,13,ok,15,ok,yes,yes,100.00,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_function_remove_dead_code,mut3,4761,4762,0,0,4,4,19,yes,yes,13,ok,23,ok,yes,yes,99.33,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function_remove_dead_code,mut1,4761,4767,0,0,4,4,40,yes,yes,13,ok,24,ok,yes,yes,99.95,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function_remove_dead_code,mut2,4761,4778,0,0,4,4,50,yes,yes,13,ok,31,ok,yes,yes,99.99,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,add_type_add_function_remove_dead_code,mut3,4761,4761,0,0,4,4,93,yes,yes,13,ok,13,ok,yes,yes,100.00,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function_remove_dead_code,mut1,4761,4719,0,0,4,4,44,yes,yes,13,ok,23,ok,yes,yes,99.48,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function_remove_dead_code,mut2,4761,4578,0,0,4,4,28,yes,yes,13,ok,15,ok,yes,yes,98.39,0.00,6,6,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,peephole_add_type_add_function_remove_dead_code,mut3,4761,4730,0,0,4,4,24,yes,yes,13,ok,24,ok,yes,yes,99.57,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
5o1u.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/btree/5o1u.wasm,edit_custom_sections,mut1,4761,4771,0,0,4,4,66,yes,yes,13,ok,27,ok,yes,yes,99.29,0.00,6,7,3,3,,,yes,yes,yes,yes,yes,0,no,,
