sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole,mut1,74099,74099,3,3,6,0,33,yes,yes,36,ok,35,ok,yes,yes,ERROR,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole,mut2,74099,74127,3,3,6,6,65,yes,yes,36,ok,32,ok,yes,yes,99.98,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole,mut3,74099,66985,3,3,6,0,31,yes,yes,36,ok,32,ok,yes,yes,ERROR,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_type,mut1,74099,71235,3,2,6,0,28,yes,yes,36,ok,35,ok,yes,yes,ERROR,0.00,47,48,12,11,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_type,mut2,74099,7317725,3,3,6,398,154,yes,yes,36,ok,99,ok,yes,yes,7.14,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_type,mut3,74099,71668,3,2,6,0,34,yes,yes,36,ok,34,ok,yes,yes,ERROR,0.00,47,47,12,11,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_type,mut1,74099,72373,3,3,6,0,29,yes,yes,36,ok,32,ok,yes,yes,ERROR,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_type,mut2,74099,66690,3,3,6,6,25,yes,yes,36,ok,31,ok,yes,yes,60.05,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_type,mut3,74099,73461,3,3,6,6,29,yes,yes,36,ok,33,ok,yes,yes,99.73,0.00,47,45,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_function,mut1,74099,74087,3,3,6,6,38,yes,yes,36,ok,30,ok,yes,yes,99.96,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_function,mut2,74099,74117,3,3,6,6,29,yes,yes,36,ok,33,ok,yes,yes,99.99,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_function,mut3,74099,74124,3,3,6,6,30,yes,yes,36,ok,31,ok,yes,yes,99.99,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_function,mut1,74099,74086,3,3,6,6,37,yes,yes,36,ok,34,ok,yes,yes,99.99,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_function,mut2,74099,70120,3,3,6,6,29,yes,yes,36,ok,33,ok,yes,yes,59.80,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,peephole_add_function,mut3,74099,74086,3,3,6,6,33,yes,yes,36,ok,13,ok,yes,yes,99.99,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_type_add_function,mut1,74099,67394,3,3,6,0,31,yes,yes,36,ok,31,ok,yes,yes,ERROR,0.00,47,47,12,12,,,yes,yes,yes,yes,yes,0,no,,
2.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/mining_programs/2.wasm,add_type_add_function,mut2,74099,70106,3,3,6,6,24,yes,yes,36,ok,36,ok,yes,yes,60.02,0.00,47,46,12,12,,,yes,yes,yes,yes,yes,0,no,,
