sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,orig_state_hash,obf_state_hash,state_match,behavior_match,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut1,38555,38576,168,168,4,4,29,yes,yes,50,ok,65,ok,yes,yes,99.99,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut2,38555,38499,168,168,4,4,21,yes,yes,50,ok,48,ok,yes,yes,99.92,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole,mut3,38555,38535,168,167,4,4,25,yes,yes,50,ok,55,ok,yes,yes,99.96,0.00,70,70,182,181,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut1,38555,38540,168,168,4,0,24,yes,yes,50,ok,53,ok,yes,yes,ERROR,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut2,38555,38571,168,168,4,4,26,yes,yes,50,ok,49,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type,mut3,38555,38555,168,168,4,0,20,yes,yes,50,ok,48,ok,yes,yes,ERROR,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut1,38555,7400719,168,168,4,435,113,yes,yes,50,ok,115,fail,yes,yes,6.21,0.00,70,70,182,182,,,yes,no,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut2,38555,38561,168,168,4,4,39,yes,yes,50,ok,49,fail,yes,yes,99.90,0.00,70,70,182,182,,,yes,no,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_type,mut3,38555,38555,168,168,4,4,22,yes,yes,50,ok,14,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut1,38555,38561,168,168,4,4,25,yes,yes,50,ok,52,ok,yes,yes,99.99,0.00,70,71,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut2,38555,38474,168,168,4,0,23,yes,yes,50,ok,54,fail,yes,yes,ERROR,0.00,70,0,182,0,,,yes,no,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_function,mut3,38555,38559,168,168,4,4,34,yes,yes,50,ok,52,ok,yes,yes,100.00,0.00,70,71,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut1,38555,38544,168,168,4,4,24,yes,yes,50,ok,300017,timeout,yes,yes,99.98,0.00,70,70,182,182,,,yes,no,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut2,38555,38555,168,168,4,4,30,yes,yes,50,ok,12,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,peephole_add_function,mut3,38555,38209,168,164,4,4,25,yes,yes,50,ok,52,ok,yes,yes,99.65,0.00,70,70,182,178,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut1,38555,38549,168,168,4,4,24,yes,yes,50,ok,49,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut2,38555,1798496,168,168,4,140,98,yes,yes,50,ok,73,fail,yes,yes,21.70,0.00,70,70,182,182,,,yes,no,yes,yes,yes,0,no,,
md5.wasm,/srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/WasmMutate/sub_data_test/realworld_program/callindirect_O2/md5.wasm,add_type_add_function,mut3,38555,38560,168,168,4,4,29,yes,yes,50,ok,58,ok,yes,yes,100.00,0.00,70,70,182,182,,,yes,yes,yes,yes,yes,0,no,,
