sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker.wasm,worker.wasm,add_sub_transformation,mut13,70972,67216,2,2,6,6,7482.47,yes,yes,101.58,ok,336.17,err,yes,yes,59.66,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,eqz_transformation,mut15,70972,67311,2,2,6,6,7108.47,yes,yes,101.58,ok,397.21,err,yes,yes,59.84,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,eqz_transformation,mut15,70972,67311,2,2,6,6,6879.55,yes,yes,85.05,ok,293.72,err,yes,yes,59.85,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,add_sub_transformation,mut13,70972,67216,2,2,6,6,7337.83,yes,yes,85.05,ok,361.53,err,yes,yes,59.67,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,direct_to_indirect,mut12,70972,67705,2,153,6,6,6742.53,yes,yes,85.05,ok,329.55,err,yes,yes,59.3,100.0,45,7,40,191,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,direct_to_indirect,mut12,70972,67705,2,153,6,6,7465.07,yes,yes,101.58,ok,359.23,err,yes,yes,59.29,100.0,45,7,40,191,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,function_sig_insertion,mut0,70972,68358,2,2,6,6,7574.05,yes,yes,101.58,ok,317.55,err,yes,yes,59.59,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
cryptpnight.wasm,cryptpnight.wasm,function_sig_insertion,mut0,70972,68374,2,2,6,6,7363.5,yes,yes,27.46,ok,404.71,err,yes,yes,59.58,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,function_sig_insertion,mut0,70972,68402,2,2,6,6,6716.14,yes,yes,85.05,ok,325.04,err,yes,yes,59.58,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,element_insertion,mut5,70972,68057,2,2,6,6,6827.11,yes,yes,85.05,ok,285.92,err,yes,yes,59.71,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,import_insertion,mut1,70972,69603,2,2,6,6,6066.24,yes,yes,85.05,ok,188.46,err,yes,yes,59.64,100.0,45,7,40,140,yes,no,no,1,yes,,file_not_found
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,export_insertion,mut6,70972,70045,2,2,6,6,7507.24,yes,yes,85.05,ok,335.21,err,yes,yes,59.72,100.0,45,107,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,element_insertion,mut5,70972,68057,2,2,6,6,6994.3,yes,yes,101.58,ok,372.28,err,yes,yes,59.71,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,import_insertion,mut1,70972,69581,2,2,6,6,5874.32,yes,yes,101.58,ok,229.94,err,yes,yes,59.64,100.0,45,7,40,140,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,export_insertion,mut6,70972,70499,2,2,6,6,7876.49,yes,yes,101.58,ok,323.81,err,yes,yes,59.69,100.0,45,106,40,40,yes,no,no,1,yes,,file_not_found
cryptpnight.wasm,cryptpnight.wasm,global_insertion,mut4,70972,68154,2,2,6,6,5105.39,yes,yes,27.46,ok,334.14,err,yes,yes,59.6,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
