sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,data_insertion,mut7,26212,162322,13,13,4,4,5101.21,yes,yes,71.39,ok,268.71,err,yes,yes,77.33,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,data_insertion,mut7,26183,162293,13,13,4,4,5715.05,yes,yes,75.82,ok,208.87,err,yes,yes,77.36,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,data_insertion,mut7,26174,178265,13,13,4,4,5255.88,yes,yes,71.79,ok,149.25,err,yes,yes,75.29,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,constant_value_splitting,mut18,26212,25446,13,13,4,4,5172.03,yes,yes,71.39,ok,42.02,err,yes,yes,99.59,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,data_encryption,mut8,26212,25900,13,13,4,4,4907.62,yes,yes,71.39,ok,146.41,err,yes,yes,97.97,100.0,60,1,72,74,yes,no,no,1,yes,,file_not_found
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,function_sig_insertion,mut0,26212,26626,13,13,4,4,4788.16,yes,yes,71.39,ok,168.94,err,yes,yes,98.57,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,element_insertion,mut5,26174,26248,13,13,4,4,4642.75,yes,yes,71.79,ok,131.49,err,yes,yes,98.96,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,import_insertion,mut1,26183,27875,13,13,4,4,5095.59,yes,yes,75.82,ok,158.01,err,yes,yes,98.79,100.0,60,1,72,171,yes,no,no,1,yes,,file_not_found
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,import_insertion,mut1,26212,28080,13,13,4,4,4339.56,yes,yes,71.39,ok,129.4,err,yes,yes,98.76,100.0,60,1,72,170,yes,no,no,1,yes,,file_not_found
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,element_insertion,mut5,26442,26516,13,13,4,4,2815.9,yes,yes,74.38,ok,114.62,err,yes,yes,98.92,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,function_sig_insertion,mut0,26442,26888,13,13,4,4,4817.94,yes,yes,74.38,ok,156.94,err,yes,yes,98.48,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,data_insertion,mut7,26442,166427,13,13,4,4,2843.97,yes,yes,74.38,ok,123.82,err,yes,yes,77.09,100.0,60,1,72,72,yes,no,no,1,yes,,file_not_found
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,data_encryption,mut8,26442,26130,13,13,4,8,2703.11,yes,yes,74.38,ok,123.27,err,yes,yes,97.93,100.0,60,1,72,74,yes,no,no,1,yes,,file_not_found
