sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,eqz_transformation,mut15,4828,4828,0,0,4,4,3263.35,yes,yes,38.54,ok,36.03,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,global_insertion,mut4,4828,4828,0,0,4,4,3382.81,yes,yes,38.54,ok,46.89,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,import_insertion,mut1,4828,4828,0,0,4,4,3549.15,yes,yes,38.54,ok,32.74,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,import_insertion,mut1,4793,4793,0,0,4,4,3554.99,yes,yes,38.27,ok,29.08,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,global_insertion,mut4,4793,4793,0,0,4,4,3717.09,yes,yes,38.27,ok,38.06,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,function_sig_insertion,mut0,4793,6009,0,0,4,4,3107.52,yes,yes,38.27,ok,69.83,err,yes,yes,94.57,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,eqz_transformation,mut15,4793,4793,0,0,4,4,3800.72,yes,yes,38.27,ok,63.52,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,shift_transformation,mut14,4793,4793,0,0,4,4,3694.2,yes,yes,38.27,ok,44.75,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,import_insertion,mut1,4863,4863,0,0,4,4,3632.43,yes,yes,37.92,ok,43.31,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,export_insertion,mut6,4863,7869,0,0,4,4,3364.19,yes,yes,37.92,ok,80.07,err,yes,yes,96.35,100.0,1,101,7,7,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,element_insertion,mut5,4828,5474,0,0,4,4,3484.89,yes,yes,38.54,ok,58.16,err,yes,yes,97.18,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,global_insertion,mut4,4863,4863,0,0,4,4,3768.6,yes,yes,37.92,ok,51.71,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,data_encryption,mut8,4793,5096,0,0,4,4,3608.25,yes,yes,38.27,ok,66.93,err,yes,yes,97.72,100.0,1,1,7,9,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,element_insertion,mut5,4793,5439,0,0,4,4,3369.93,yes,yes,38.27,ok,64.91,err,yes,yes,97.17,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,element_insertion,mut5,4863,5509,0,0,4,4,3760.04,yes,yes,37.92,ok,92.43,err,yes,yes,97.19,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,eqz_transformation,mut15,4863,4863,0,0,4,4,3703.41,yes,yes,37.92,ok,35.63,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,shift_transformation,mut14,4863,4863,0,0,4,4,3851.84,yes,yes,37.92,ok,40.39,err,yes,yes,100.0,100.0,1,1,7,7,yes,no,no,1,yes,,file_not_found
5o2u.wasm,5o2u.wasm,data_encryption,mut8,4863,5166,0,0,4,4,3700.84,yes,yes,37.92,ok,98.2,err,yes,yes,97.74,100.0,1,1,7,9,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,data_encryption,mut8,4828,5131,0,0,4,4,3709.18,yes,yes,38.54,ok,91.01,err,yes,yes,97.73,100.0,1,1,7,9,yes,no,no,1,yes,,file_not_found
