sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,data_encryption,mut8,4761,4945,0,0,4,4,3732.86,yes,yes,41.14,ok,205.26,err,yes,yes,97.35,100.0,6,0,6,8,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,shift_transformation,mut14,4755,4629,0,0,4,4,3487.55,yes,yes,34.82,ok,156.99,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,data_insertion,mut7,4755,6230,0,0,4,4,4337.65,yes,yes,34.82,ok,227.78,err,yes,yes,95.59,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,direct_to_indirect,mut12,4755,4681,0,12,4,4,3462.4,yes,yes,34.82,ok,143.59,err,yes,yes,99.32,100.0,6,0,6,18,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,export_insertion,mut6,4755,4629,0,0,4,4,4125.35,yes,yes,34.82,ok,109.28,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,function_sig_insertion,mut0,4761,5822,0,0,4,4,5390.88,yes,yes,41.14,ok,106.75,err,yes,yes,94.23,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,mba_transformation,mut17,4761,4698,0,0,4,4,4689.09,yes,yes,41.14,ok,197.26,err,yes,yes,99.44,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,function_sig_insertion,mut0,4755,5851,0,0,4,4,4888.55,yes,yes,34.82,ok,321.88,err,yes,yes,94.16,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,data_insertion,mut7,4761,6836,0,0,4,4,3931.87,yes,yes,41.14,ok,254.94,err,yes,yes,94.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,eqz_transformation,mut15,4761,4635,0,0,4,4,4098.75,yes,yes,41.14,ok,257.77,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,export_insertion,mut6,4761,4635,0,0,4,4,4406.08,yes,yes,41.14,ok,142.39,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,import_insertion,mut1,4755,4629,0,0,4,4,5393.66,yes,yes,34.82,ok,27.44,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,mba_transformation,mut17,4755,4692,0,0,4,4,3892.86,yes,yes,34.82,ok,235.3,err,yes,yes,99.44,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,shift_transformation,mut14,4761,4635,0,0,4,4,4908.94,yes,yes,41.14,ok,174.5,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,global_insertion,mut4,4755,4629,0,0,4,4,4715.61,yes,yes,34.82,ok,67.05,err,yes,yes,99.74,100.0,6,0,6,6,yes,no,no,1,yes,,file_not_found
2o3u.wasm,2o3u.wasm,data_encryption,mut8,4755,4939,0,0,4,4,4946.46,yes,yes,34.82,ok,242.25,err,yes,yes,97.37,100.0,6,0,6,8,yes,no,no,1,yes,,file_not_found
5o1u.wasm,5o1u.wasm,direct_to_indirect,mut12,4761,4687,0,12,4,4,4604.12,yes,yes,41.14,ok,168.43,err,yes,yes,99.32,100.0,6,0,6,18,yes,no,no,1,yes,,file_not_found
