sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker.wasm,worker.wasm,function_sig_insertion,mut0,70972,68459,2,2,6,6,6194.5,yes,yes,85.84,ok,192.73,err,yes,yes,59.57,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,eqz_transformation,mut15,70972,67311,2,2,6,6,5647.58,yes,yes,85.84,ok,302.68,err,yes,yes,59.84,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,add_sub_transformation,mut13,70972,67216,2,2,6,6,6771.0,yes,yes,85.84,ok,216.19,err,yes,yes,59.66,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,direct_to_indirect,mut12,70972,67705,2,153,6,6,7242.26,yes,yes,85.84,ok,228.25,err,yes,yes,59.29,100.0,45,7,40,191,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,export_insertion,mut6,70972,70478,2,2,6,6,6569.96,yes,yes,85.84,ok,252.31,err,yes,yes,59.69,100.0,45,107,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,element_insertion,mut5,70972,68057,2,2,6,6,6827.82,yes,yes,85.84,ok,174.87,err,yes,yes,59.71,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,global_insertion,mut4,70972,68174,2,2,6,6,6903.25,yes,yes,85.84,ok,182.9,err,yes,yes,59.53,100.0,45,7,40,40,yes,no,no,1,yes,,file_not_found
2.wasm,2.wasm,add_sub_transformation,mut13,74099,70121,3,3,6,6,6723.23,yes,yes,100.74,ok,202.73,err,yes,yes,59.74,100.0,47,8,42,42,yes,no,no,1,yes,,file_not_found
2.wasm,2.wasm,eqz_transformation,mut15,74099,70216,3,3,6,6,6588.04,yes,yes,100.74,ok,201.98,err,yes,yes,59.91,100.0,47,8,42,42,yes,no,no,1,yes,,file_not_found
worker.wasm,worker.wasm,import_insertion,mut1,70972,69715,2,2,6,6,6299.94,yes,yes,85.84,ok,211.93,err,yes,yes,59.37,100.0,45,7,40,139,yes,no,no,1,yes,,file_not_found
2.wasm,2.wasm,export_insertion,mut6,74099,73084,3,3,6,6,6529.79,yes,yes,100.74,ok,212.22,err,yes,yes,59.79,100.0,47,108,42,42,yes,no,no,1,yes,,file_not_found
2.wasm,2.wasm,function_sig_insertion,mut0,74099,71322,3,3,6,6,6380.77,yes,yes,100.74,ok,221.86,err,yes,yes,59.66,100.0,47,8,42,42,yes,no,no,1,yes,,file_not_found
2.wasm,2.wasm,direct_to_indirect,mut12,74099,70676,3,176,6,6,5978.5,yes,yes,100.74,ok,190.2,err,yes,yes,59.27,100.0,47,8,42,215,yes,no,no,1,yes,,file_not_found
