sample,relpath,obfuscation_transformation,mutant_id,obf_time,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,valid_orig,valid_obf,run_orig,run_obf,run_time_orig,run_time_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm,function_sig_insertion,base64-cli_function_sig_insertion_0.1,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.01494,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.282: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm,function_sig_insertion,base64-cli_function_sig_insertion_0.5,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.015036,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.282: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm,function_sig_insertion,base64-cli_function_sig_insertion_1.0,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.01864,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.282: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/function_sig_insertion/base64-cli_function_sig_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/import_insertion/base64-cli_import_insertion.wasm,import_insertion,base64-cli_import_insertion_0.1,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.019175,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.270: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/import_insertion/base64-cli_import_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/import_insertion/base64-cli_import_insertion.wasm,import_insertion,base64-cli_import_insertion_0.5,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.017928,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.270: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/import_insertion/base64-cli_import_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/import_insertion/base64-cli_import_insertion.wasm,import_insertion,base64-cli_import_insertion_1.0,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.018233,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.270: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/import_insertion/base64-cli_import_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_insertion/base64-cli_function_insertion.wasm,function_insertion,base64-cli_function_insertion_0.1,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.015296,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.274: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_insertion/base64-cli_function_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/function_insertion/base64-cli_function_insertion.wasm,function_insertion,base64-cli_function_insertion_0.5,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.01737,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.274: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.5/base64-cli/function_insertion/base64-cli_function_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/function_insertion/base64-cli_function_insertion.wasm,function_insertion,base64-cli_function_insertion_1.0,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.016382,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.274: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/1.0/base64-cli/function_insertion/base64-cli_function_insertion.wasm: no such file or directory,file_not_found
base64-cli,/Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_body_cloning/base64-cli_function_body_cloning.wasm,function_body_cloning,base64-cli_function_body_cloning_0.1,,2407327,,5232,0,24,0,ok,invalid,err,err,0.240833,0.017302,yes,no,,,902,,5261,,no,no,no,2,yes,string:1.1-1.280: i/o error: /Results_swamped/Results_swamped_Wasmer/realworld_program/callindirect/0.1/base64-cli/function_body_cloning/base64-cli_function_body_cloning.wasm: no such file or directory,file_not_found
