sample,relpath,obfuscation_transformation,pipeline_depth,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,data_encryption,1,pipe8,26212,25900,13,13,4,4,3236.78,yes,yes,12.7,ok,33.71,err,yes,yes,97.97,100.0,no,no,no,2,yes,string:1.1-1.200: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-1-2-1-1-gt127-1-0-1.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,data_encryption,1,pipe8,26183,25871,13,13,4,4,3774.29,yes,yes,11.82,ok,170.08,err,yes,yes,97.98,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,function_body_cloning,1,pipe3,26183,25417,13,13,4,4,3833.51,yes,yes,11.82,ok,34.53,err,yes,yes,99.6,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,constant_value_splitting,1,pipe18,26183,25417,13,13,4,4,3770.24,yes,yes,11.82,ok,72.95,err,yes,yes,99.6,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,global_insertion,1,pipe4,26183,26360,13,13,4,4,3699.5,yes,yes,11.82,ok,141.31,err,yes,yes,98.88,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,data_insertion,1,pipe7,26212,155497,13,13,4,4,3846.34,yes,yes,12.7,ok,152.15,err,yes,yes,78.23,100.0,no,no,no,2,yes,string:1.1-1.200: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-1-2-1-1-gt127-1-0-1.wasm: No such file or directory,file_not_found
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,data_insertion,1,pipe7,26174,155505,13,13,4,4,2764.48,yes,yes,12.58,ok,58.0,err,yes,yes,78.13,100.0,no,no,no,2,yes,string:1.1-1.209: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,data_insertion,1,pipe7,26183,171393,13,13,4,4,3544.84,yes,yes,11.82,ok,204.11,err,yes,yes,76.1,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,export_insertion,1,pipe6,26183,28395,13,13,4,4,3541.02,yes,yes,11.82,ok,204.09,err,yes,yes,98.95,100.0,no,no,no,2,yes,string:1.1-1.197: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/1b-4-1-0-0-dc-2-1-0.wasm: No such file or directory,file_not_found
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,function_body_cloning,1,pipe3,26442,25676,13,13,4,4,1748.03,yes,yes,10.5,ok,17.32,err,yes,yes,99.54,100.0,no,no,no,2,yes,string:1.1-1.192: i/o error: /srv/storage/killerdroid@storage3.rennes.grid5000.fr/datasets/Andromatch_Paper/SOK_WebAsssembly_2025_Grid5000/DualGraphWasm/data/Dataset_orig/Benign/btree/nameOB/decimaltooctal.wasm: No such file or directory,file_not_found
