sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,data_insertion,mut7,52168,252706,21,21,4,4,7198.32,yes,yes,60054.24,ok,251.42,err,yes,yes,78.72,100.0,92,1,112,112,yes,yes,yes,0,no,,
slist_test_iterRemove.wasm,slist/slist_test_iterRemove.wasm,data_insertion,mut7,53201,236074,21,21,4,4,7298.39,yes,yes,60061.04,ok,282.58,err,yes,yes,80.34,100.0,95,1,115,115,yes,yes,yes,0,no,,
slist_test_removeFirst.wasm,slist/slist_test_removeFirst.wasm,data_insertion,mut7,51388,215697,21,21,4,4,7181.65,yes,yes,60061.01,ok,307.05,err,yes,yes,80.86,100.0,91,1,111,111,yes,yes,yes,0,no,,
slist_test_removeAt.wasm,slist/slist_test_removeAt.wasm,data_encryption,mut8,52168,46975,21,21,4,15,7054.54,yes,yes,60054.24,ok,196.72,err,yes,yes,97.8,100.0,92,1,112,114,yes,yes,yes,0,no,,
slist_test_removeFirst.wasm,slist/slist_test_removeFirst.wasm,data_encryption,mut8,51388,46255,21,21,4,14,5992.51,yes,yes,60061.01,ok,194.46,err,yes,yes,97.79,100.0,91,1,111,113,yes,yes,yes,0,no,,
slist_test_iterRemove.wasm,slist/slist_test_iterRemove.wasm,data_encryption,mut8,53201,47933,21,21,4,10,6747.07,yes,yes,60061.04,ok,231.25,err,yes,yes,98.12,100.0,95,1,115,117,yes,yes,yes,0,no,,
slist_test_iterRemove.wasm,slist/slist_test_iterRemove.wasm,import_insertion,mut1,53201,49809,21,21,4,4,6779.82,yes,yes,60061.04,ok,183.85,err,yes,yes,98.73,100.0,95,1,115,215,yes,yes,yes,0,no,,
slist_test_removeFirst.wasm,slist/slist_test_removeFirst.wasm,global_insertion,mut4,51388,46396,21,21,4,4,6156.72,yes,yes,60061.01,ok,260.63,err,yes,yes,98.97,100.0,91,1,111,111,yes,yes,yes,0,no,,
slist_test_iterRemove.wasm,slist/slist_test_iterRemove.wasm,global_insertion,mut4,53201,48062,21,21,4,4,6672.47,yes,yes,60061.04,ok,249.9,err,yes,yes,98.98,100.0,95,1,115,115,yes,yes,yes,0,no,,
slist_test_removeFirst.wasm,slist/slist_test_removeFirst.wasm,function_body_cloning,mut3,51388,45440,21,21,4,4,6507.59,yes,yes,60061.01,ok,43.29,err,yes,yes,99.4,100.0,91,1,111,111,yes,yes,yes,0,no,,
