sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker.wasm,worker.wasm,add_sub_transformation,mut13,70972,67216,2,2,6,6,7231.24,yes,yes,14.51,ok,181.77,err,yes,yes,59.66,100.0,45,7,40,40,yes,yes,yes,0,no,,
cryptpnight.wasm,cryptpnight.wasm,function_sig_insertion,mut0,70972,68450,2,2,6,6,7174.78,yes,yes,13.81,ok,261.93,err,yes,yes,59.56,100.0,45,7,40,40,yes,yes,yes,0,no,,
cryptpnight.wasm,cryptpnight.wasm,export_insertion,mut6,70972,70092,2,2,6,6,6579.11,yes,yes,13.81,ok,225.61,err,yes,yes,59.71,100.0,45,107,40,40,yes,yes,yes,0,no,,
cryptpnight.wasm,cryptpnight.wasm,global_insertion,mut4,70972,68143,2,2,6,6,5954.0,yes,yes,13.81,ok,243.52,err,yes,yes,59.58,100.0,45,7,40,40,yes,yes,yes,0,no,,
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,element_insertion,mut5,70972,68057,2,2,6,6,8017.43,yes,yes,13.33,ok,274.17,err,yes,yes,59.71,100.0,45,7,40,40,yes,yes,yes,0,no,,
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,add_sub_transformation,mut13,70972,67216,2,2,6,6,7882.23,yes,yes,13.33,ok,249.64,err,yes,yes,59.67,100.0,45,7,40,40,yes,yes,yes,0,no,,
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,eqz_transformation,mut15,70972,67311,2,2,6,6,6672.42,yes,yes,13.33,ok,234.89,err,yes,yes,59.85,100.0,45,7,40,40,yes,yes,yes,0,no,,
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,import_insertion,mut1,70972,69511,2,2,6,6,6722.32,yes,yes,13.33,ok,262.09,err,yes,yes,59.42,100.0,45,7,40,137,yes,yes,yes,0,no,,
worker.wasm,worker.wasm,eqz_transformation,mut15,70972,67311,2,2,6,6,6613.26,yes,yes,14.51,ok,275.87,err,yes,yes,59.84,100.0,45,7,40,40,yes,yes,yes,0,no,,
cryptpnight.wasm,cryptpnight.wasm,element_insertion,mut5,70972,68057,2,2,6,6,5740.22,yes,yes,13.81,ok,200.53,err,yes,yes,59.71,100.0,45,7,40,40,yes,yes,yes,0,no,,
bluegrassrivals.com.wasm,bluegrassrivals.com.wasm,global_insertion,mut4,70972,68171,2,2,6,6,7718.91,yes,yes,13.33,ok,211.6,err,yes,yes,59.6,100.0,45,7,40,40,yes,yes,yes,0,no,,
worker.wasm,worker.wasm,export_insertion,mut6,70972,70506,2,2,6,6,8032.0,yes,yes,14.51,ok,216.27,err,yes,yes,59.69,100.0,45,106,40,40,yes,yes,yes,0,no,,
worker.wasm,worker.wasm,direct_to_indirect,mut12,70972,67705,2,153,6,6,7269.16,yes,yes,14.51,ok,333.77,err,yes,yes,59.29,100.0,45,7,40,191,yes,yes,yes,0,no,,
