sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,import_insertion,mut1,3323,5562,0,0,4,4,3428.22,yes,yes,17.01,ok,44.43,err,yes,yes,87.99,100.0,9,3,6,105,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,function_body_cloning,mut3,3323,3140,0,0,4,4,3742.15,yes,yes,17.01,ok,112.58,err,yes,yes,99.3,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,function_sig_insertion,mut0,3323,4358,0,0,4,4,3925.53,yes,yes,17.01,ok,119.62,err,yes,yes,85.45,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,direct_to_indirect,mut12,3323,3167,0,6,4,4,3885.97,yes,yes,17.01,ok,45.68,err,yes,yes,98.74,100.0,9,3,6,12,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,data_insertion,mut7,3323,3140,0,0,4,4,3957.84,yes,yes,17.01,ok,22.58,err,yes,yes,99.3,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,global_insertion,mut4,3323,3140,0,0,4,4,4284.03,yes,yes,17.01,ok,33.0,err,yes,yes,99.3,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,element_insertion,mut5,3323,3980,0,0,4,4,4298.92,yes,yes,17.01,ok,48.6,err,yes,yes,91.39,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,offset_expansion,mut16,3323,3140,0,0,4,4,3893.68,yes,yes,17.01,ok,24.21,err,yes,yes,99.3,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,data_encryption,mut8,3323,3445,0,0,4,4,4097.43,yes,yes,17.01,ok,57.92,err,yes,yes,94.13,100.0,9,3,6,8,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,export_insertion,mut6,3323,6508,0,0,4,4,4283.23,yes,yes,17.01,ok,36.29,err,yes,yes,78.95,100.0,9,103,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,add_sub_transformation,mut13,3323,3140,0,0,4,4,3805.23,yes,yes,17.01,ok,83.63,err,yes,yes,99.12,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,constant_value_splitting,mut18,3323,3140,0,0,4,4,3955.58,yes,yes,17.01,ok,22.91,err,yes,yes,99.3,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,eqz_transformation,mut15,3323,3144,0,0,4,4,3959.78,yes,yes,17.01,ok,45.43,err,yes,yes,99.23,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,mba_transformation,mut17,3323,3374,0,0,4,4,3947.52,yes,yes,17.01,ok,49.26,err,yes,yes,95.36,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,shift_transformation,mut14,3323,3188,0,0,4,4,3983.6,yes,yes,17.01,ok,53.57,err,yes,yes,97.85,100.0,9,3,6,6,yes,yes,yes,0,no,,
3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,3ecac7bcbe2827c0d17ef881fd891da2158c6c6efeddebcc8a2084150d2598ac.wasm,constant_value_transformation,mut19,3323,4201,0,0,4,4,3828.93,yes,yes,17.01,ok,48.71,err,yes,yes,82.98,100.0,9,3,6,6,yes,yes,yes,0,no,,
