sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,data_insertion,mut7,26212,144122,13,13,4,4,3741.68,yes,yes,38.14,ok,93.71,err,yes,yes,79.92,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,import_insertion,mut1,26183,27963,13,13,4,4,3527.58,yes,yes,35.72,ok,103.22,err,yes,yes,98.78,100.0,60,1,72,170,yes,yes,yes,0,no,,
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,data_insertion,mut7,26183,146368,13,13,4,4,3858.95,yes,yes,35.72,ok,103.04,err,yes,yes,79.35,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,data_insertion,mut7,26174,164609,13,13,4,4,3427.06,yes,yes,44.46,ok,95.77,err,yes,yes,77.25,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,export_insertion,mut6,26183,28389,13,13,4,4,3901.44,yes,yes,35.72,ok,152.98,err,yes,yes,98.95,100.0,60,101,72,72,yes,yes,yes,0,no,,
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,function_body_cloning,mut3,26174,25408,13,13,4,4,3683.55,yes,yes,44.46,ok,98.9,err,yes,yes,99.58,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,nameOB/1b-1-1-2-2-gt127_eq63_dep-0-0-0.wasm,element_insertion,mut5,26174,26248,13,13,4,4,3784.19,yes,yes,44.46,ok,144.57,err,yes,yes,98.96,100.0,60,1,72,72,yes,yes,yes,0,no,,
1b-1-2-1-1-gt127-1-0-1.wasm,nameOB/1b-1-2-1-1-gt127-1-0-1.wasm,import_insertion,mut1,26212,28093,13,13,4,4,3198.57,yes,yes,38.14,ok,111.18,err,yes,yes,98.76,100.0,60,1,72,170,yes,yes,yes,0,no,,
1b-4-1-0-0-dc-2-1-0.wasm,nameOB/1b-4-1-0-0-dc-2-1-0.wasm,function_sig_insertion,mut0,26183,26621,13,13,4,4,3475.45,yes,yes,35.72,ok,127.27,err,yes,yes,98.5,100.0,60,1,72,72,yes,yes,yes,0,no,,
decimaltooctal.wasm,nameOB/decimaltooctal.wasm,export_insertion,mut6,26442,29170,13,13,4,4,2198.4,yes,yes,37.3,ok,76.15,err,yes,yes,98.84,100.0,60,101,72,72,yes,yes,yes,0,no,,
