sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
5o1u.wasm,5o1u.wasm,export_insertion,mut6,4761,4635,0,0,4,4,2509.25,yes,yes,8.91,ok,17.42,ok,yes,yes,99.74,100.0,6,0,6,6,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,global_insertion,mut4,4761,4635,0,0,4,4,2565.09,yes,yes,8.91,ok,15.91,ok,yes,yes,99.74,100.0,6,0,6,6,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,eqz_transformation,mut15,4761,4635,0,0,4,4,2380.3,yes,yes,8.91,ok,12.17,ok,yes,yes,99.74,100.0,6,0,6,6,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,function_sig_insertion,mut0,4761,5865,0,0,4,4,3190.21,yes,yes,8.91,ok,171.07,ok,yes,yes,94.17,100.0,6,0,6,6,yes,yes,yes,0,no,,
2o3u.wasm,2o3u.wasm,function_sig_insertion,mut0,4755,5918,0,0,4,4,3339.8,yes,yes,8.84,ok,155.85,ok,yes,yes,93.95,100.0,6,0,6,6,yes,yes,yes,0,no,,
2o3u.wasm,2o3u.wasm,data_encryption,mut8,4755,4939,0,0,4,4,2809.72,yes,yes,8.84,ok,17.28,ok,yes,yes,97.37,100.0,6,0,6,8,yes,yes,yes,0,no,,
2o3u.wasm,2o3u.wasm,data_insertion,mut7,4755,6230,0,0,4,4,2685.66,yes,yes,8.84,ok,106.59,ok,yes,yes,95.59,100.0,6,0,6,6,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,data_insertion,mut7,4761,6836,0,0,4,4,3075.02,yes,yes,8.91,ok,57.52,ok,yes,yes,94.74,100.0,6,0,6,6,yes,yes,yes,0,no,,
5o1u.wasm,5o1u.wasm,data_encryption,mut8,4761,4945,0,0,4,4,2990.5,yes,yes,8.91,ok,132.29,ok,yes,yes,97.35,100.0,6,0,6,8,yes,yes,yes,0,no,,
2o3u.wasm,2o3u.wasm,mba_transformation,mut17,4755,4692,0,0,4,4,2677.89,yes,yes,8.84,ok,53.71,ok,yes,yes,99.44,100.0,6,0,6,6,yes,yes,yes,0,no,,
