sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
worker_profiled.wasm,worker_profiled.wasm,data_insertion,mut7,94270,615691,2,2,6,300,6292.01,yes,yes,19.25,ok,176.38,err,yes,yes,65.89,100.0,13,13,46,46,yes,yes,yes,0,no,,
1.wasm,1.wasm,export_insertion,mut6,73010,76424,6,6,6,6,3930.17,yes,yes,51.47,ok,167.83,err,yes,yes,99.55,100.0,21,121,121,121,yes,yes,yes,0,no,,
1.wasm,1.wasm,element_insertion,mut5,73010,73853,6,6,6,6,3501.42,yes,yes,51.47,ok,184.38,err,yes,yes,99.61,100.0,21,21,121,121,yes,yes,yes,0,no,,
worker_profiled.wasm,worker_profiled.wasm,data_encryption,mut8,94270,101849,2,2,6,274,4371.03,yes,yes,19.25,ok,241.69,err,yes,yes,97.22,100.0,13,13,46,48,yes,yes,yes,0,no,,
worker_profiled.wasm,worker_profiled.wasm,export_insertion,mut6,94270,97160,2,2,6,6,5285.36,yes,yes,19.25,ok,223.75,err,yes,yes,99.7,100.0,13,113,46,46,yes,yes,yes,0,no,,
worker_profiled.wasm,worker_profiled.wasm,element_insertion,mut5,94270,95113,2,2,6,6,5046.83,yes,yes,19.25,ok,250.31,err,yes,yes,99.71,100.0,13,13,46,46,yes,yes,yes,0,no,,
1.wasm,1.wasm,data_insertion,mut7,73010,298604,6,6,6,187,3889.05,yes,yes,51.47,ok,160.78,err,yes,yes,75.93,100.0,21,21,121,121,yes,yes,yes,0,no,,
1.wasm,1.wasm,data_encryption,mut8,73010,81552,6,6,6,332,3240.81,yes,yes,51.47,ok,152.76,err,yes,yes,95.83,100.0,21,21,121,123,yes,yes,yes,0,no,,
worker_profiled.wasm,worker_profiled.wasm,function_sig_insertion,mut0,94270,95483,2,2,6,6,5364.21,yes,yes,19.25,ok,220.2,err,yes,yes,99.55,100.0,13,13,46,46,yes,yes,yes,0,no,,
worker_profiled.wasm,worker_profiled.wasm,add_sub_transformation,mut13,94270,94272,2,2,6,6,7105.9,yes,yes,19.25,ok,174.94,err,yes,yes,100.0,100.0,13,13,46,46,yes,yes,yes,0,no,,
