sample,relpath,obfuscation_transformation,mutant_id,size_orig,size_obf,call_ind_orig,call_ind_obf,max_nesting_orig,max_nesting_obf,obf_time,valid_orig,valid_obf,run_time_orig,run_orig,run_time_obf,run_obf,disassembly_ok_orig,disassembly_ok_obf,wat_similarity,cfg_similarity,func_symbols_orig,func_symbols_obf,type_symbols_orig,type_symbols_obf,spec_valid_orig,spec_valid_obf,semantic_equivalence_bool,spec_violation_count,undefined_behavior_risk,spec_errors_orig,spec_errors_obf
md5.wasm,callindirect_O2/md5.wasm,data_encryption,mut8,38555,38091,168,168,4,16,7349.33,yes,yes,73.04,ok,246.77,err,yes,yes,98.33,100.0,67,1,237,239,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,data_insertion,mut7,38555,222314,168,168,4,4,6920.79,yes,yes,73.04,ok,355.16,err,yes,yes,77.58,100.0,67,1,237,237,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,function_body_cloning,mut3,38555,37377,168,168,4,4,7207.2,yes,yes,73.04,ok,79.5,err,yes,yes,99.67,100.0,67,1,237,237,yes,yes,yes,0,no,,
md5.wasm,nameOB/md5.wasm,data_insertion,mut7,30841,193454,14,14,4,4,6822.01,yes,yes,58.25,ok,146.53,err,yes,yes,75.44,100.0,67,1,80,80,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,export_insertion,mut6,38555,39912,168,168,4,4,6993.53,yes,yes,73.04,ok,267.09,err,yes,yes,99.27,100.0,67,101,237,237,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,element_insertion,mut5,38555,38217,168,168,4,4,7020.4,yes,yes,73.04,ok,250.05,err,yes,yes,99.23,100.0,67,1,237,237,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,constant_value_splitting,mut18,38555,37377,168,168,4,4,6931.88,yes,yes,73.04,ok,267.4,err,yes,yes,99.67,100.0,67,1,237,237,yes,yes,yes,0,no,,
md5.wasm,callindirect_O2/md5.wasm,global_insertion,mut4,38555,38343,168,168,4,4,7213.2,yes,yes,73.04,ok,286.65,err,yes,yes,99.14,100.0,67,1,237,237,yes,yes,yes,0,no,,
md5.wasm,nameOB/md5.wasm,global_insertion,mut4,30841,30945,14,14,4,4,7051.6,yes,yes,58.25,ok,158.87,err,yes,yes,98.93,100.0,67,1,80,80,yes,yes,yes,0,no,,
md5.wasm,nameOB/md5.wasm,data_encryption,mut8,30841,30707,14,14,4,16,7196.39,yes,yes,58.25,ok,168.69,err,yes,yes,97.87,100.0,67,1,80,82,yes,yes,yes,0,no,,
